excluir,#esklui#,excluo,#eskluu#
aproveitar,#aproveita#,aproveito,#aproveitu#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
enviar,#envia#,envio,#enviu#
crescer,#krese#,cresso,#kresu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
continuar,#kontinua#,continuo,#kontinuu#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
chover,#xove#,chovo,#xovu#
gritar,#grita#,grito,#gritu#
exercer,#ezerse#,exerco,#ezersu#
agir,#aji#,ajo,#aju#
ansiar,#ansia#,anseio,#anseiu#
odiar,#odia#,odeio,#odeiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
ansiar,#ansia#,anseio,#anseiu#
odiar,#odia#,odeio,#odeiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
ansiar,#ansia#,anseio,#anseiu#
odiar,#odia#,odeio,#odeiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
mediar,#media#,medeio,#medeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
