infinitive,predicted,target,class
odia,otuu,odeiu,class__ansiar
media,menguu,medeiu,class__ansiar
hemedia,hemeteiu,hemedeiu,class__ansiar
sortea,sotteiu,sorteiu,class__ansiar
intermedia,intenteti,intermedeiu,class__ansiar
insendia,intenfaiu,insendeiu,class__ansiar
pleitea,pa$eliu,pleiteiu,class__ansiar
ansia,ananu,anseiu,class__ansiar
pasea,parexu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
nota,ton,nOtu,class__botar
boia,buhu,bOiu,class__botar
koloka,kulku,kolOku,class__botar
oLa,ouu,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akOrdu,akOrdu,class__botar
kosa,kosu,kOsu,class__botar
aumosa,emu,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,xovtu,vOltu,class__botar
joga,xOgu,jOgu,class__botar
mostra,pors$u,mOstru,class__botar
troka,troku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entOrtu,entOrtu,class__botar
hetorna,hentriu,hetOrnu,class__botar
bota,pOsu,bOtu,class__botar
torna,trutu,tOrnu,class__botar
informa,unsenu,infOrmu,class__botar
enkosta,enkOstu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,Otu,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,koptu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,desprugu,deskubru,class__cobrir
enkobri,enkontu,enkubru,class__cobrir
hekobri,hebOrtu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hezitu,hedigu,class__dizer
desdize,destreu,desdigu,class__dizer
entredize,entredezu,entredigu,class__dizer
interdize,entredezu,interdigu,class__dizer
kondize,kons$$u,kondigu,class__dizer
kontradize,kontrazisu,kontradigu,class__dizer
despraze,testrazu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adifasu,adijasu,class__fazer
putrefaze,profersu,putrefasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,as$avassu,satisfasu,class__fazer
insatisfaze,insesfasfa,insatisfasu,class__fazer
likefaze,exegis,likefasu,class__fazer
transfaze,trassasu,transfasu,class__fazer
kontrafaze,kontrefassu,kontrafasu,class__fazer
tohefaze,tesofesu,tohefasu,class__fazer
harefaze,asarevu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,amusfau,maufasu,class__fazer
kre,kOru,kreiu,class__ler
tresle,tretexu,treleiu,class__ler
le,xeiu,leiu,class__ler
hele,hepelu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,desmrmiu,desmintu,class__mentir
konsenti,kons$rnu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prentisu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,ansinu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,pertenu,persintu,class__mentir
entreouvi,entrivuu,entreousu,class__none
reouvi,enduuu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,heketu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desgu,dEsdu,class__none
kabe,kabi,kaibu,class__none
da,ze,dou,class__none
ekivale,agilEsu,ekivaLu,class__none
sabe,senu,sei,class__none
idea,adi,ideiu,class__none
esta,estu,estou,class__none
prove,prevu,proveNu,class__none
sobresta,tuspErtu,sobrestou,class__none
kere,keru,kEru,class__none
entrekere,entrenteiu,entrekEru,class__none
pode,potu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,ozu,ousu,class__none
dezimpedi,dezipintu,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,deskutu,despEsu,class__pedir
impedi,impudu,impEsu,class__pedir
pedi,penu,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,des$$tu,desmEsu,class__pedir
predispo,preto$tu,predispoNu,class__por
indispo,engu,indispoNu,class__por
dezapo,despi,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontra$u,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,dengu,dispoNu,class__por
despo,denpu,despoNu,class__por
transpo,trantu,transpoNu,class__por
espo,enbu,espoNu,class__por
interpo,entre$u,interpoNu,class__por
hedispo,hezpenu,hedispoNu,class__por
antepo,entenu,antepoNu,class__por
deskompo,deskompu,deskompoNu,class__por
justapo,zuxut$u,justapoNu,class__por
trespo,tren$u,trespoNu,class__por
dekompo,genkupu,dekompoNu,class__por
supo,supu,supoNu,class__por
presupo,presu,presupoNu,class__por
hekompo,hepop$,hekompoNu,class__por
entrepo,entrepu,entrepoNu,class__por
prosupo,prosutu,prosupoNu,class__por
propo,pondu,propoNu,class__por
