infinitive,predicted,target,class
odia,$suu,odeiu,class__ansiar
media,mesigu,medeiu,class__ansiar
hemedia,hemeteiu,hemedeiu,class__ansiar
sortea,sotreeu,sorteiu,class__ansiar
intermedia,entenke$i,intermedeiu,class__ansiar
insendia,insatisu,insendeiu,class__ansiar
pleitea,pemjitu,pleiteiu,class__ansiar
ansia,anssu,anseiu,class__ansiar
pasea,paseiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegubu,hebOku,class__botar
nota,nontu,nOtu,class__botar
boia,bu,bOiu,class__botar
koloka,kolitu,kolOku,class__botar
oLa,Ou,OLu,class__botar
korta,kortu,kOrtu,class__botar
akorda,akorzu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,emufin,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,xoju,vOltu,class__botar
joga,jubu,jOgu,class__botar
mostra,mortreu,mOstru,class__botar
troka,trEku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xostu,xOru,class__botar
tosta,tosto,tOstu,class__botar
entorta,entrenu,entOrtu,class__botar
hetorna,sespriu,hetOrnu,class__botar
bota,bOsu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infEru,infOrmu,class__botar
enkosta,entondu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,pOstu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,desprOgu,deskubru,class__cobrir
enkobri,eskuntu,enkubru,class__cobrir
hekobri,hekOrtu,hekubru,class__cobrir
sorti,sortinu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hestuu,hedigu,class__dizer
desdize,des$stu,desdigu,class__dizer
entredize,entrekesu,entredigu,class__dizer
interdize,intrezedeNu,interdigu,class__dizer
kondize,kontisu,kondigu,class__dizer
kontradize,kontrasisu,kontradigu,class__dizer
despraze,destradu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adiva,adijasu,class__fazer
putrefaze,perfirfisu,putrefasu,class__fazer
