infinitive,predicted,target,class
odia,oOdu,odeiu,class__ansiar
media,meskiu,medeiu,class__ansiar
hemedia,hepas$u,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,intentatiu,intermedeiu,class__ansiar
insendia,insenteiu,insendeiu,class__ansiar
pleitea,poleitu,pleiteiu,class__ansiar
ansia,anisu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hebupu,hebOku,class__botar
nota,menu,nOtu,class__botar
boia,bOuu,bOiu,class__botar
koloka,kopuku,kolOku,class__botar
oLa,ou,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akurtu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,emus$u,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,fumdu,vOltu,class__botar
joga,jogu,jOgu,class__botar
mostra,morsi,mOstru,class__botar
troka,trOku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,hotu,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entretu,entOrtu,class__botar
hetorna,hentriu,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,tOrnu,tOrnu,class__botar
informa,infEntu,infOrmu,class__botar
enkosta,enkondu,enkOstu,class__botar
toka,tOtu,tOku,class__botar
ora,Oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tOnu,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,deskOttu,deskubru,class__cobrir
enkobri,enkondu,enkubru,class__cobrir
hekobri,hepOktu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hes$,hedigu,class__dizer
desdize,destr$u,desdigu,class__dizer
entredize,entretezu,entredigu,class__dizer
interdize,intertezu,interdigu,class__dizer
kondize,kontreju,kondigu,class__dizer
kontradize,kontravasu,kontradigu,class__dizer
despraze,desprezu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adisfi,adijasu,class__fazer
putrefaze,p$rmizfisu,putrefasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,adafesfu,satisfasu,class__fazer
insatisfaze,istassefasu,insatisfasu,class__fazer
likefaze,a$iva$,likefasu,class__fazer
transfaze,trassassu,transfasu,class__fazer
kontrafaze,kontrafazu,kontrafasu,class__fazer
tohefaze,soho,tohefasu,class__fazer
harefaze,hesassu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,$anfiju,maufasu,class__fazer
kre,k$ru,kreiu,class__ler
tresle,treseju,treleiu,class__ler
le,$li,leiu,class__ler
hele,he$eu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,desmentu,desmintu,class__mentir
konsenti,kons$ntu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prenetu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,es$ntu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,penstruu,persintu,class__mentir
entreouvi,ento$suu,entreousu,class__none
reouvi,enfuxu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hepEtu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desdu,dEsdu,class__none
kabe,kabu,kaibu,class__none
da,deu,dou,class__none
ekivale,agilisu,ekivaLu,class__none
sabe,sadu,sei,class__none
idea,adiiu,ideiu,class__none
esta,estu,estou,class__none
prove,prevo,proveNu,class__none
sobresta,zosprEtu,sobrestou,class__none
kere,kreuu,kEru,class__none
entrekere,entreteru,entrekEru,class__none
pode,potu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,ouvu,ousu,class__none
dezimpedi,despintu,dezimpEsu,class__pedir
medi,mitu,mEsu,class__pedir
despedi,despitu,despEsu,class__pedir
impedi,$impu,impEsu,class__pedir
pedi,pOu,pEsu,class__pedir
espedi,esbitu,espEsu,class__pedir
desmedi,despinu,desmEsu,class__pedir
predispo,pren$gu,predispoNu,class__por
indispo,int$$du,indispoNu,class__por
dezapo,despinu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,poNu,poNu,class__por
kontrapo,kontretu,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,dispu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,tr$$tuu,transpoNu,class__por
espo,engu,espoNu,class__por
interpo,intendiNu,interpoNu,class__por
hedispo,heto$tu,hedispoNu,class__por
antepo,antenu,antepoNu,class__por
deskompo,despumpu,deskompoNu,class__por
justapo,subandu,justapoNu,class__por
