infinitive,predicted,target,class
odia,otuu,odeiu,class__ansiar
media,meti,medeiu,class__ansiar
hemedia,hepeneiu,hemedeiu,class__ansiar
sortea,sotreeu,sorteiu,class__ansiar
intermedia,entenkreiu,intermedeiu,class__ansiar
insendia,insenti,insendeiu,class__ansiar
pleitea,peleriu,pleiteiu,class__ansiar
ansia,anisu,anseiu,class__ansiar
pasea,parexu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
nota,nonu,nOtu,class__botar
boia,pOuu,bOiu,class__botar
koloka,kopiru,kolOku,class__botar
oLa,o,OLu,class__botar
korta,kortu,kOrtu,class__botar
akorda,akOrdu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,inkumu,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,vul$,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,ponstu,mOstru,class__botar
troka,treku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tOstu,tOstu,class__botar
entorta,entrenu,entOrtu,class__botar
hetorna,hentriu,hetOrnu,class__botar
bota,pOtu,bOtu,class__botar
torna,tOru,tOrnu,class__botar
informa,,infOrmu,class__botar
enkosta,enkOrsu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$O,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,toNu,tOmu,class__botar
kobri,koptru,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,desprudu,deskubru,class__cobrir
enkobri,enkuttu,enkubru,class__cobrir
hekobri,heputtu,hekubru,class__cobrir
sorti,sortu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hezizu,hedigu,class__dizer
desdize,destrizu,desdigu,class__dizer
entredize,entrenezu,entredigu,class__dizer
interdize,intresdiju,interdigu,class__dizer
kondize,kondisu,kondigu,class__dizer
kontradize,kontratisu,kontradigu,class__dizer
despraze,desprazu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,pens$$su,putrefasu,class__fazer
benfaze,pofassu,benfasu,class__fazer
perfaze,perfisu,perfasu,class__fazer
satisfaze,astivassu,satisfasu,class__fazer
insatisfaze,insensefasu,insatisfasu,class__fazer
likefaze,elavasu,likefasu,class__fazer
transfaze,trass$zu,transfasu,class__fazer
kontrafaze,kontrafazu,kontrafasu,class__fazer
tohefaze,so,tohefasu,class__fazer
harefaze,satesfisu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,am$fasu,maufasu,class__fazer
kre,kreu,kreiu,class__ler
tresle,tre$lxu,treleiu,class__ler
le,leiu,leiu,class__ler
hele,he$lu,heleiu,class__ler
deskre,dEstru,deskreiu,class__ler
desmenti,desmntu,desmintu,class__mentir
konsenti,konstriu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prentinu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,antinu,asintu,class__mentir
hesenti,hesertu,hesintu,class__mentir
persenti,peretiru,persintu,class__mentir
entreouvi,intrevulu,entreousu,class__none
reouvi,eskuuu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hepEtu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desku,dEsdu,class__none
kabe,kaku,kaibu,class__none
da,tE,dou,class__none
ekivale,egula$u,ekivaLu,class__none
sabe,sagu,sei,class__none
idea,adeiu,ideiu,class__none
esta,estu,estou,class__none
prove,prevoju,proveNu,class__none
sobresta,dusprenu,sobrestou,class__none
kere,kenu,kEru,class__none
entrekere,entrentiu,entrekEru,class__none
pode,podu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,osuju,ousu,class__none
dezimpedi,despa,dezimpEsu,class__pedir
medi,metu,mEsu,class__pedir
despedi,despidu,despEsu,class__pedir
impedi,mimpu,impEsu,class__pedir
pedi,pEku,pEsu,class__pedir
espedi,eskupu,espEsu,class__pedir
desmedi,des$,desmEsu,class__pedir
predispo,pretrezu,predispoNu,class__por
indispo,intindu,indispoNu,class__por
dezapo,desezu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,peuu,poNu,class__por
kontrapo,kontr$$u,kontrapoNu,class__por
pospo,ponpu,pospoNu,class__por
dispo,distu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,tratruu,transpoNu,class__por
espo,endu,espoNu,class__por
interpo,intentu,interpoNu,class__por
hedispo,hette$u,hedispoNu,class__por
antepo,at$npi,antepoNu,class__por
deskompo,denbompu,deskompoNu,class__por
justapo,supin$,justapoNu,class__por
trespo,tren$u,trespoNu,class__por
dekompo,kompum,dekompoNu,class__por
supo,sum,supoNu,class__por
presupo,pretutu,presupoNu,class__por
hekompo,hempOtu,hekompoNu,class__por
entrepo,entretu,entrepoNu,class__por
prosupo,propunu,prosupoNu,class__por
propo,propu,propoNu,class__por
depo,depu,depoNu,class__por
impo,menu,impoNu,class__por
superpo,soprepu,superpoNu,class__por
sofre,sossu,sofru,class__regular
disouve,desuxu,disouvu,class__regular
kohiji,kofixu,kohiju,class__regular
envouve,osofuxu,envouvu,class__regular
mexe,mexi,mexu,class__regular
kompraze,komprasu,komprazu,class__regular
presiza,presizu,presizu,class__regular
analiza,amaxxu,analisu,class__regular
eriji,eskuu,eriju,class__regular
hompe,hompeNu,hompu,class__regular
konvida,konvidu,konvidu,class__regular
planta,ba$tru,plantu,class__regular
levanta,la$$rsu,levantu,class__regular
fala,faxu,falu,class__regular
anda,atru,andu,class__regular
kumpri,kompru,kumpru,class__regular
konjuga,konvudu,konjugu,class__regular
xama,la,xamu,class__regular
murxa,mOrsu,murxu,class__regular
eskreve,ettevezu,eskrevu,class__regular
kontinua,kontenuu,kontinuu,class__regular
krese,trasu,kresu,class__regular
ezerse,esfEsu,ezersu,class__regular
liga,ligu,ligu,class__regular
brinka,pratu,brinku,class__regular
trabaLa,pra$atu,trabaLu,class__regular
subimete,dospe,subimetu,class__regular
hespeita,hetetaru,hespeitu,class__regular
vende,vendu,vendu,class__regular
sede,seteNu,sedu,class__regular
agradese,adirtesu,agradesu,class__regular
koNese,konesu,koNesu,class__regular
voa,vOu,vou,class__regular
nada,$tu,nadu,class__regular
para,paru,paru,class__regular
kome,koNu,komu,class__regular
permiti,permitu,permitu,class__regular
lava,lavu,lavu,class__regular
dese,deseNu,desu,class__regular
beija,baji,beiju,class__regular
kohe,koxu,kohu,class__regular
permanese,pentenenu,permanesu,class__regular
uza,$u,uzu,class__regular
esklui,eskulu,eskluu,class__regular
kompreende,kompartanu,kompreendu,class__regular
dezisti,deskasu,dezistu,class__regular
aparese,aprenefu,aparesu,class__regular
envia,envu,enviu,class__regular
kai,kaaiu,kaiu,class__regular
imprimi,emprimu,imprimu,class__regular
imerji,im$rxu,imerju,class__regular
subimerji,supireji,subimerju,class__regular
benze,benzu,benzu,class__regular
gaNa,kaNu,gaNu,class__regular
aseita,aseatu,aseitu,class__regular
konfuji,konvulu,konfuju,class__regular
segura,siguru,seguru,class__regular
suspende,subunstu,suspendu,class__regular
junta,zumdu,juntu,class__regular
kohompe,kompesu,kohompu,class__regular
atrai,atratu,atraiu,class__regular
kultiva,kunjudu,kultivu,class__regular
eskuta,eskutu,eskutu,class__regular
mata,matu,matu,class__regular
paga,pagu,pagu,class__regular
sai,saiu,saiu,class__regular
bate,bateNu,batu,class__regular
eskoLe,etkoxu,eskoLu,class__regular
asende,asendu,asendu,class__regular
esvai,esviu,esvaiu,class__regular
destrui,destruu,destruu,class__regular
dormi,tuntu,durmu,class__regular
okohe,oobo,okohu,class__regular
diriji,disiru,diriju,class__regular
muda,mudu,mudu,class__regular
esprimi,entripu,esprimu,class__regular
farta,fartu,fartu,class__regular
trai,traku,traiu,class__regular
mingua,manugu,minguu,class__regular
desmobilia,despimisu,desmobiliu,class__regular
sohi,sofu,sohiu,class__regular
perverte,persezetu,pervertu,class__regular
preklui,progulu,prekluu,class__regular
kontrai,kontritu,kontraiu,class__regular
estingi,istidu,estingu,class__regular
desprekave,detperfazu,desprekavu,class__regular
televe,kohevi,televu,class__regular
entupi,entubu,entupu,class__regular
deskalsa,deskaxu,deskalsu,class__regular
gasta,gastu,gastu,class__regular
finda,findu,findu,class__regular
kuspi,kundu,kuspu,class__regular
