infinitive,predicted,target,class
odia,Otu,odeiu,class__ansiar
media,periiu,medeiu,class__ansiar
hemedia,hemedeiu,hemedeiu,class__ansiar
sortea,sosteiu,sorteiu,class__ansiar
intermedia,ententeitu,intermedeiu,class__ansiar
insendia,insensi,insendeiu,class__ansiar
pleitea,penevi,pleiteiu,class__ansiar
ansia,anisu,anseiu,class__ansiar
pasea,pa$esu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hebiku,hebOku,class__botar
nota,notu,nOtu,class__botar
boia,buu,bOiu,class__botar
koloka,kOlku,kolOku,class__botar
oLa,ou,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akr$gu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,in$,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,vol$u,vOltu,class__botar
joga,jogu,jOgu,class__botar
mostra,,mOstru,class__botar
troka,tregu,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOtu,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entretu,entOrtu,class__botar
hetorna,hentOru,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,trO,tOrnu,class__botar
informa,insuru,infOrmu,class__botar
enkosta,enkontu,enkOstu,class__botar
toka,kOtu,tOku,class__botar
ora,Oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tO,tOmu,class__botar
kobri,kongu,kubru,class__cobrir
tosi,tOsu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,deskOttu,deskubru,class__cobrir
enkobri,enkOttu,enkubru,class__cobrir
hekobri,hekOttu,hekubru,class__cobrir
sorti,surti,surtu,class__cobrir
dize,d$su,digu,class__dizer
hedize,hezetu,hedigu,class__dizer
desdize,dezettu,desdigu,class__dizer
entredize,ettretezu,entredigu,class__dizer
interdize,intertezi,interdigu,class__dizer
kondize,kondisu,kondigu,class__dizer
kontradize,kontratsu,kontradigu,class__dizer
despraze,testrevu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,pent$f$su,putrefasu,class__fazer
benfaze,besfanu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,sasisfasu,satisfasu,class__fazer
insatisfaze,insensevasu,insatisfasu,class__fazer
likefaze,aguxasu,likefasu,class__fazer
transfaze,transs$su,transfasu,class__fazer
kontrafaze,pornas$svu,kontrafasu,class__fazer
tohefaze,tesfefu,tohefasu,class__fazer
harefaze,hasEsfi,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,apusfa,maufasu,class__fazer
kre,tOtu,kreiu,class__ler
tresle,treezeju,treleiu,class__ler
le,leu,leiu,class__ler
hele,he$,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,despintu,desmintu,class__mentir
konsenti,kontranu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prenesu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,asintu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,pertensu,persintu,class__mentir
entreouvi,entrevuuu,entreousu,class__none
reouvi,enduu,reousu,class__none
pari,paru,pairu,class__none
perde,perteu,perku,class__none
hekere,hekenu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desdu,dEsdu,class__none
kabe,kapu,kaibu,class__none
da,di,dou,class__none
ekivale,agulEsu,ekivaLu,class__none
sabe,satu,sei,class__none
idea,adeiu,ideiu,class__none
esta,estu,estou,class__none
prove,prevu,proveNu,class__none
sobresta,sospribu,sobrestou,class__none
kere,kreiu,kEru,class__none
entrekere,entrenetu,entrekEru,class__none
pode,potu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,ouvi,ousu,class__none
dezimpedi,despidi,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,deskubu,despEsu,class__pedir
impedi,mippuu,impEsu,class__pedir
pedi,p,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,despinu,desmEsu,class__pedir
predispo,prededi,predispoNu,class__por
indispo,intettu,indispoNu,class__por
dezapo,deskoNu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontratu,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,dispu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,trantnu,transpoNu,class__por
espo,estu,espoNu,class__por
interpo,entrepu,interpoNu,class__por
hedispo,hetetu,hedispoNu,class__por
antepo,attemu,antepoNu,class__por
deskompo,despum$u,deskompoNu,class__por
justapo,subil$u,justapoNu,class__por
trespo,trenku,trespoNu,class__por
dekompo,konpumu,dekompoNu,class__por
supo,supu,supoNu,class__por
presupo,prenudu,presupoNu,class__por
hekompo,hepop$u,hekompoNu,class__por
