infinitive,predicted,target,class
odia,otuu,odeiu,class__ansiar
media,mengu,medeiu,class__ansiar
hemedia,hemeti,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,intenteatu,intermedeiu,class__ansiar
insendia,insentuu,insendeiu,class__ansiar
pleitea,paletu,pleiteiu,class__ansiar
ansia,an$$u,anseiu,class__ansiar
pasea,parefu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekupru,hebOku,class__botar
nota,notu,nOtu,class__botar
boia,bO,bOiu,class__botar
koloka,kolguu,kolOku,class__botar
oLa,$ou,OLu,class__botar
korta,kontru,kOrtu,class__botar
akorda,akOrtu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imisu,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,voh$,vOltu,class__botar
joga,jogu,jOgu,class__botar
mostra,,mOstru,class__botar
troka,troku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,fOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hentOru,hetOrnu,class__botar
bota,bOsu,bOtu,class__botar
torna,trunu,tOrnu,class__botar
informa,infEru,infOrmu,class__botar
enkosta,enkondu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$$u,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,kondu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,deskOktu,deskubru,class__cobrir
enkobri,enkOttu,enkubru,class__cobrir
hekobri,hegOtru,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hetezu,hedigu,class__dizer
desdize,desk$su,desdigu,class__dizer
entredize,entremedu,entredigu,class__dizer
interdize,intersezu,interdigu,class__dizer
kondize,kondizu,kondigu,class__dizer
kontradize,kontrazizu,kontradigu,class__dizer
despraze,destrazu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,porfenvitu,putrefasu,class__fazer
benfaze,pisfasu,benfasu,class__fazer
perfaze,pervesu,perfasu,class__fazer
satisfaze,asis$$su,satisfasu,class__fazer
insatisfaze,insenfestesu,insatisfasu,class__fazer
likefaze,levanzu,likefasu,class__fazer
transfaze,transs$su,transfasu,class__fazer
kontrafaze,kontrasazu,kontrafasu,class__fazer
