infinitive,predicted,target,class
odia,otuu,odeiu,class__ansiar
media,mengu,medeiu,class__ansiar
hemedia,hepeadu,hemedeiu,class__ansiar
sortea,sorteiu,sorteiu,class__ansiar
intermedia,intenteteiu,intermedeiu,class__ansiar
insendia,intra$$u,insendeiu,class__ansiar
pleitea,pe$a$iu,pleiteiu,class__ansiar
ansia,ansiu,anseiu,class__ansiar
pasea,parexu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,nontu,nOtu,class__botar
boia,pu,bOiu,class__botar
koloka,kop$lu,kolOku,class__botar
oLa,o,OLu,class__botar
korta,kontru,kOrtu,class__botar
akorda,akOrtu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imusu,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,xoj$u,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,ponstu,mOstru,class__botar
troka,truku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,fOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entontu,entOrtu,class__botar
hetorna,hestreiu,hetOrnu,class__botar
bota,bO,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,enfuntu,infOrmu,class__botar
enkosta,enkontu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$,Oru,class__botar
mora,mOru,mOru,class__botar
posta,pOstu,pOstu,class__botar
hekorta,hekutru,hekOrtu,class__botar
toma,tO,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,engulu,engulu,class__cobrir
deskobri,dezprugu,deskubru,class__cobrir
enkobri,enkottu,enkubru,class__cobrir
hekobri,hebOttu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hetuzu,hedigu,class__dizer
desdize,desk$su,desdigu,class__dizer
entredize,entretesu,entredigu,class__dizer
interdize,intertezu,interdigu,class__dizer
kondize,kondisu,kondigu,class__dizer
kontradize,kontrastitu,kontradigu,class__dizer
despraze,destra$u,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adisaju,adijasu,class__fazer
putrefaze,ponz$s$su,putrefasu,class__fazer
benfaze,pes$,benfasu,class__fazer
perfaze,pervesu,perfasu,class__fazer
satisfaze,sanfasx,satisfasu,class__fazer
insatisfaze,infengesvasu,insatisfasu,class__fazer
likefaze,ijijesu,likefasu,class__fazer
transfaze,transz$su,transfasu,class__fazer
