infinitive,predicted,target,class
odia,$kuu,odeiu,class__ansiar
media,metiuu,medeiu,class__ansiar
hemedia,hemegiiu,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,intenteiku,intermedeiu,class__ansiar
insendia,intenfaiu,insendeiu,class__ansiar
pleitea,pleletu,pleiteiu,class__ansiar
ansia,anasu,anseiu,class__ansiar
pasea,parexu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,nontu,nOtu,class__botar
boia,bu,bOiu,class__botar
koloka,ko$ku,kolOku,class__botar
oLa,ouu,OLu,class__botar
korta,kortu,kOrtu,class__botar
akorda,ak$rsu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imuxu,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,folku,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,mortEsu,mOstru,class__botar
troka,trogu,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xur,xOru,class__botar
tosta,tustu,tOstu,class__botar
entorta,entretu,entOrtu,class__botar
hetorna,hentriu,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infEru,infOrmu,class__botar
enkosta,enkOrsu,enkOstu,class__botar
toka,tOtu,tOku,class__botar
ora,Otu,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkubu,engulu,class__cobrir
deskobri,dettr$$u,deskubru,class__cobrir
enkobri,enkondu,enkubru,class__cobrir
hekobri,hebOrtu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hezidu,hedigu,class__dizer
desdize,des$r$u,desdigu,class__dizer
entredize,entretezu,entredigu,class__dizer
interdize,interdevu,interdigu,class__dizer
kondize,kontisu,kondigu,class__dizer
kontradize,kontragasu,kontradigu,class__dizer
despraze,desprezu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,prefenzu,putrefasu,class__fazer
benfaze,besas,benfasu,class__fazer
perfaze,pesfaru,perfasu,class__fazer
satisfaze,satisfasu,satisfasu,class__fazer
insatisfaze,inisasassu,insatisfasu,class__fazer
likefaze,agufasu,likefasu,class__fazer
transfaze,trasrsasu,transfasu,class__fazer
kontrafaze,kontresezu,kontrafasu,class__fazer
tohefaze,,tohefasu,class__fazer
harefaze,sasisfu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,apufasu,maufasu,class__fazer
kre,kOru,kreiu,class__ler
tresle,trefazu,treleiu,class__ler
le,leu,leiu,class__ler
hele,he$eu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,desmrnu,desmintu,class__mentir
konsenti,konsintu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,pren$nu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,asintu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,pertenu,persintu,class__mentir
entreouvi,entorfuju,entreousu,class__none
reouvi,erofuu,reousu,class__none
pari,paru,pairu,class__none
perde,perte,perku,class__none
hekere,hepEtu,hekEru,class__none
traze,trasi,tragu,class__none
desda,destu,dEsdu,class__none
kabe,kapu,kaibu,class__none
da,deu,dou,class__none
ekivale,akula,ekivaLu,class__none
sabe,sadu,sei,class__none
idea,adeiu,ideiu,class__none
esta,estu,estou,class__none
prove,preveju,proveNu,class__none
sobresta,dustErtu,sobrestou,class__none
kere,keru,kEru,class__none
entrekere,entreetru,entrekEru,class__none
pode,podu,pOsu,class__none
estrea,estraiu,estrEiu,class__none
ouvi,osuvu,ousu,class__none
dezimpedi,desingu,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,despriu,despEsu,class__pedir
impedi,imidu,impEsu,class__pedir
pedi,bipu,pEsu,class__pedir
espedi,espidu,espEsu,class__pedir
desmedi,desidu,desmEsu,class__pedir
predispo,pretispu,predispoNu,class__por
indispo,intedu,indispoNu,class__por
dezapo,dete,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontratu,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,dispu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,trantu,transpoNu,class__por
espo,espu,espoNu,class__por
interpo,intremu,interpoNu,class__por
hedispo,hede$gu,hedispoNu,class__por
antepo,antemu,antepoNu,class__por
deskompo,deskompu,deskompoNu,class__por
justapo,subentu,justapoNu,class__por
trespo,tren$u,trespoNu,class__por
dekompo,tekumpu,dekompoNu,class__por
supo,supu,supoNu,class__por
presupo,pretu,presupoNu,class__por
