infinitive,predicted,target,class
odia,otuu,odeiu,class__ansiar
media,meti,medeiu,class__ansiar
hemedia,hepeneiu,hemedeiu,class__ansiar
sortea,sotteiu,sorteiu,class__ansiar
intermedia,entrekeitu,intermedeiu,class__ansiar
insendia,ensantiiu,insendeiu,class__ansiar
pleitea,peleitu,pleiteiu,class__ansiar
ansia,anizu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,nOtu,nOtu,class__botar
boia,po,bOiu,class__botar
koloka,kolku,kolOku,class__botar
oLa,ouu,OLu,class__botar
korta,kortiu,kOrtu,class__botar
akorda,akurtu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,inu,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,vul$u,vOltu,class__botar
joga,jubu,jOgu,class__botar
mostra,murstu,mOstru,class__botar
troka,truku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tOstu,tOstu,class__botar
entorta,entreku,entOrtu,class__botar
hetorna,hentreuu,hetOrnu,class__botar
bota,bOsu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infEntu,infOrmu,class__botar
enkosta,enkOrtu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,otu,Oru,class__botar
mora,mOru,mOru,class__botar
posta,posto,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tONu,tOmu,class__botar
kobri,kongu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,engluu,engulu,class__cobrir
deskobri,deskOttu,deskubru,class__cobrir
enkobri,enkOttu,enkubru,class__cobrir
hekobri,hekOku,hekubru,class__cobrir
sorti,sutru,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hesizu,hedigu,class__dizer
desdize,dezestu,desdigu,class__dizer
entredize,entrekezu,entredigu,class__dizer
interdize,intredezu,interdigu,class__dizer
kondize,kondesu,kondigu,class__dizer
kontradize,kontrasazu,kontradigu,class__dizer
despraze,destarsu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adifasu,adijasu,class__fazer
putrefaze,p$r$efazu,putrefasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
perfaze,pesfasu,perfasu,class__fazer
satisfaze,satisassu,satisfasu,class__fazer
insatisfaze,infenvestafu,insatisfasu,class__fazer
likefaze,itiagaxu,likefasu,class__fazer
transfaze,tranffasu,transfasu,class__fazer
kontrafaze,kontrefasu,kontrafasu,class__fazer
tohefaze,,tohefasu,class__fazer
harefaze,heasfasu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,imazizu,maufasu,class__fazer
kre,kreu,kreiu,class__ler
tresle,tresexu,treleiu,class__ler
le,,leiu,class__ler
hele,hele,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,desminpu,desmintu,class__mentir
konsenti,kontansu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prenentu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,ansintu,asintu,class__mentir
hesenti,hesensu,hesintu,class__mentir
persenti,presettu,persintu,class__mentir
entreouvi,entrovuu,entreousu,class__none
reouvi,eruvu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hekeru,hekEru,class__none
traze,trasu,tragu,class__none
desda,desgu,dEsdu,class__none
kabe,kapu,kaibu,class__none
da,dE,dou,class__none
ekivale,agilazu,ekivaLu,class__none
sabe,sagu,sei,class__none
idea,adeiu,ideiu,class__none
esta,estu,estou,class__none
prove,provi,proveNu,class__none
sobresta,suspresu,sobrestou,class__none
kere,kenu,kEru,class__none
entrekere,ententeatu,entrekEru,class__none
pode,podu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,o,ousu,class__none
dezimpedi,dezepipuu,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,despitu,despEsu,class__pedir
impedi,apibu,impEsu,class__pedir
pedi,pedu,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,desindu,desmEsu,class__pedir
predispo,prentidu,predispoNu,class__por
indispo,int$$pu,indispoNu,class__por
dezapo,desatu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pO,poNu,class__por
kontrapo,kontra$u,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,dispu,dispoNu,class__por
despo,desku,despoNu,class__por
transpo,tramt$u,transpoNu,class__por
espo,esku,espoNu,class__por
interpo,entontu,interpoNu,class__por
hedispo,het$$iu,hedispoNu,class__por
antepo,atteNu,antepoNu,class__por
deskompo,despompu,deskompoNu,class__por
justapo,subinsu,justapoNu,class__por
trespo,trenobu,trespoNu,class__por
dekompo,tombu,dekompoNu,class__por
supo,sum,supoNu,class__por
presupo,presu,presupoNu,class__por
hekompo,hepupru,hekompoNu,class__por
entrepo,entrepu,entrepoNu,class__por
prosupo,pro$$,prosupoNu,class__por
propo,propu,propoNu,class__por
depo,depu,depoNu,class__por
impo,minpu,impoNu,class__por
superpo,hopupru,superpoNu,class__por
sofre,sos$i,sofru,class__regular
disouve,desu,disouvu,class__regular
kohiji,kul$i,kohiju,class__regular
envouve,engoxu,envouvu,class__regular
mexe,mexu,mexu,class__regular
kompraze,kompratu,komprazu,class__regular
presiza,presisu,presizu,class__regular
analiza,anajisu,analisu,class__regular
eriji,asuru,eriju,class__regular
hompe,hop$,hompu,class__regular
konvida,konvisu,konvidu,class__regular
planta,marteiu,plantu,class__regular
levanta,hemEtru,levantu,class__regular
fala,falu,falu,class__regular
anda,antu,andu,class__regular
kumpri,komtru,kumpru,class__regular
konjuga,konvuku,konjugu,class__regular
xama,,xamu,class__regular
murxa,mursu,murxu,class__regular
eskreve,ettreveju,eskrevu,class__regular
kontinua,konteniu,kontinuu,class__regular
krese,krafu,kresu,class__regular
ezerse,estesu,ezersu,class__regular
liga,ligu,ligu,class__regular
brinka,pragu,brinku,class__regular
trabaLa,trapinu,trabaLu,class__regular
subimete,hepupEri,subimetu,class__regular
hespeita,hepentiu,hespeitu,class__regular
vende,vendu,vendu,class__regular
sede,set$u,sedu,class__regular
agradese,agattasu,agradesu,class__regular
koNese,komesu,koNesu,class__regular
voa,vOxu,vou,class__regular
nada,nEtu,nadu,class__regular
para,paru,paru,class__regular
kome,komu,komu,class__regular
permiti,penpiru,permitu,class__regular
lava,lavu,lavu,class__regular
dese,deseNu,desu,class__regular
beija,bexi,beiju,class__regular
kohe,kohiu,kohu,class__regular
permanese,penpera,permanesu,class__regular
uza,$uzu,uzu,class__regular
esklui,eskulu,eskluu,class__regular
kompreende,komperteNu,kompreendu,class__regular
dezisti,despizu,dezistu,class__regular
aparese,aprateiu,aparesu,class__regular
envia,esizu,enviu,class__regular
kai,kaiu,kaiu,class__regular
imprimi,mum$r$u,imprimu,class__regular
imerji,imirju,imerju,class__regular
subimerji,supirezu,subimerju,class__regular
benze,bensu,benzu,class__regular
gaNa,kaNu,gaNu,class__regular
aseita,asaitu,aseitu,class__regular
konfuji,konfuju,konfuju,class__regular
segura,sikutu,seguru,class__regular
suspende,sut$entu,suspendu,class__regular
junta,funtu,juntu,class__regular
kohompe,kompinu,kohompu,class__regular
atrai,atresu,atraiu,class__regular
kultiva,ku,kultivu,class__regular
eskuta,eskutu,eskutu,class__regular
mata,manu,matu,class__regular
paga,paku,pagu,class__regular
sai,saiu,saiu,class__regular
bate,bati,batu,class__regular
eskoLe,esk$$u,eskoLu,class__regular
asende,anez$,asendu,class__regular
esvai,esfiu,esvaiu,class__regular
destrui,destruu,destruu,class__regular
dormi,tontu,durmu,class__regular
okohe,oko,okohu,class__regular
diriji,disiru,diriju,class__regular
muda,mudu,mudu,class__regular
esprimi,ent$itu,esprimu,class__regular
farta,fartu,fartu,class__regular
trai,triiu,traiu,class__regular
mingua,mumtutu,minguu,class__regular
desmobilia,tespilituu,desmobiliu,class__regular
sohi,sohu,sohiu,class__regular
perverte,pertefiru,pervertu,class__regular
preklui,preuku,prekluu,class__regular
kontrai,kontriiu,kontraiu,class__regular
estingi,inskutu,estingu,class__regular
desprekave,desprefatu,desprekavu,class__regular
televe,$ezexu,televu,class__regular
entupi,enputu,entupu,class__regular
deskalsa,desatsuu,deskalsu,class__regular
gasta,gast,gastu,class__regular
finda,fintu,findu,class__regular
kuspi,kuntu,kuspu,class__regular
pretende,pertentu,pretendu,class__regular
