infinitive,predicted,target,class
odia,Otuu,odeiu,class__ansiar
media,mengu,medeiu,class__ansiar
hemedia,hemediu,hemedeiu,class__ansiar
sortea,tostenu,sorteiu,class__ansiar
intermedia,atrepentiNu,intermedeiu,class__ansiar
insendia,intesitu,insendeiu,class__ansiar
pleitea,pali,pleiteiu,class__ansiar
ansia,ansuu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
nota,tOntu,nOtu,class__botar
boia,bOuu,bOiu,class__botar
koloka,kolkuu,kolOku,class__botar
oLa,Ou,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akrudu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,infO,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,xuxku,vOltu,class__botar
joga,jogu,jOgu,class__botar
mostra,mortru,mOstru,class__botar
troka,trOku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,fOru,xOru,class__botar
tosta,tOstu,tOstu,class__botar
entorta,entretu,entOrtu,class__botar
hetorna,het$r$u,hetOrnu,class__botar
bota,bOsu,bOtu,class__botar
torna,truu,tOrnu,class__botar
informa,infErtu,infOrmu,class__botar
enkosta,enkondu,enkOstu,class__botar
toka,tOtu,tOku,class__botar
ora,oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tOnu,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,dezprugu,deskubru,class__cobrir
enkobri,enkOttu,enkubru,class__cobrir
hekobri,hepOttu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,disu,digu,class__dizer
hedize,hezidu,hedigu,class__dizer
desdize,destreuu,desdigu,class__dizer
entredize,entretezu,entredigu,class__dizer
interdize,intrevesu,interdigu,class__dizer
kondize,kontriu,kondigu,class__dizer
kontradize,kontrasidu,kontradigu,class__dizer
despraze,destra$u,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivesu,adijasu,class__fazer
putrefaze,p$r$$$su,putrefasu,class__fazer
benfaze,bisfasu,benfasu,class__fazer
perfaze,pervasu,perfasu,class__fazer
satisfaze,atrafassu,satisfasu,class__fazer
insatisfaze,intasasasfu,insatisfasu,class__fazer
likefaze,avejezu,likefasu,class__fazer
transfaze,trarazsu,transfasu,class__fazer
