infinitive,predicted,target,class
odia,utu,odeiu,class__ansiar
media,matidu,medeiu,class__ansiar
hemedia,hemetiiu,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,intenteneuu,intermedeiu,class__ansiar
insendia,intenseiu,insendeiu,class__ansiar
pleitea,bilatu,pleiteiu,class__ansiar
ansia,anisu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,soku,sOku,class__botar
heboka,hegubu,hebOku,class__botar
nota,notu,nOtu,class__botar
boia,buu,bOiu,class__botar
koloka,kolku,kolOku,class__botar
oLa,oNu,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akurtu,akOrdu,class__botar
kosa,kosu,kOsu,class__botar
aumosa,im$$u,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,vol$u,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,,mOstru,class__botar
troka,truku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,fOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entretu,entOrtu,class__botar
hetorna,hentreuu,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,un$$nu,infOrmu,class__botar
enkosta,enkondu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,,Oru,class__botar
mora,mOru,mOru,class__botar
posta,pOstu,pOstu,class__botar
hekorta,hetOttu,hekOrtu,class__botar
toma,pOnu,tOmu,class__botar
kobri,kongu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,engulu,engulu,class__cobrir
deskobri,desprudu,deskubru,class__cobrir
enkobri,enkuttu,enkubru,class__cobrir
hekobri,hepOrtu,hekubru,class__cobrir
sorti,sutreu,surtu,class__cobrir
dize,duzu,digu,class__dizer
hedize,hedesu,hedigu,class__dizer
desdize,des$stu,desdigu,class__dizer
entredize,entretezu,entredigu,class__dizer
interdize,intervet$u,interdigu,class__dizer
kondize,kondisu,kondigu,class__dizer
kontradize,kontrafasu,kontradigu,class__dizer
despraze,desprazu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivesu,adijasu,class__fazer
putrefaze,ponsizizu,putrefasu,class__fazer
benfaze,besfanu,benfasu,class__fazer
perfaze,prefizu,perfasu,class__fazer
satisfaze,istasissu,satisfasu,class__fazer
insatisfaze,insenzez$,insatisfasu,class__fazer
likefaze,abixEsu,likefasu,class__fazer
transfaze,transfasu,transfasu,class__fazer
kontrafaze,kentrafazu,kontrafasu,class__fazer
tohefaze,tosfesu,tohefasu,class__fazer
