infinitive,predicted,target,class
odia,onuu,odeiu,class__ansiar
media,mantu,medeiu,class__ansiar
hemedia,hemetisu,hemedeiu,class__ansiar
sortea,sopresu,sorteiu,class__ansiar
intermedia,ententereiu,intermedeiu,class__ansiar
insendia,insenteiu,insendeiu,class__ansiar
pleitea,pe$atiu,pleiteiu,class__ansiar
ansia,aresu,anseiu,class__ansiar
pasea,pareeu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,notu,nOtu,class__botar
boia,pu,bOiu,class__botar
koloka,kOltu,kolOku,class__botar
oLa,oNu,OLu,class__botar
korta,konttu,kOrtu,class__botar
akorda,akredu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,inu,aumOsu,class__botar
gosta,gost$u,gOstu,class__botar
volta,xovku,vOltu,class__botar
joga,jOgu,jOgu,class__botar
mostra,mortinu,mOstru,class__botar
troka,tOrku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,fOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entretu,entOrtu,class__botar
hetorna,sentriu,hetOrnu,class__botar
bota,pOsu,bOtu,class__botar
torna,trumu,tOrnu,class__botar
informa,unfuru,infOrmu,class__botar
enkosta,enkontu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$$u,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,desprugu,deskubru,class__cobrir
enkobri,enkupru,enkubru,class__cobrir
hekobri,hekOrtu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hetisu,hedigu,class__dizer
desdize,desirdu,desdigu,class__dizer
entredize,entretesu,entredigu,class__dizer
interdize,intredezu,interdigu,class__dizer
kondize,kontasu,kondigu,class__dizer
kontradize,kontrasasu,kontradigu,class__dizer
despraze,destravu,desprasu,class__fazer
faze,fas,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,ponstesesu,putrefasu,class__fazer
benfaze,besfasu,benfasu,class__fazer
perfaze,pess$,perfasu,class__fazer
satisfaze,sasus$ssu,satisfasu,class__fazer
insatisfaze,inserefasu,insatisfasu,class__fazer
likefaze,avijasu,likefasu,class__fazer
transfaze,transf$su,transfasu,class__fazer
kontrafaze,kontrasesu,kontrafasu,class__fazer
tohefaze,sospesisu,tohefasu,class__fazer
harefaze,ses$refu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,a$$$fisu,maufasu,class__fazer
kre,k$ru,kreiu,class__ler
tresle,tre$,treleiu,class__ler
le,le,leiu,class__ler
hele,he$exu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,tenm$ti,desmintu,class__mentir
konsenti,kontinsu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prennsu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,asintu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,persentu,persintu,class__mentir
entreouvi,entrovixu,entreousu,class__none
reouvi,esuzuu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hetenu,hekEru,class__none
traze,trasu,tragu,class__none
desda,destu,dEsdu,class__none
kabe,kati,kaibu,class__none
da,deu,dou,class__none
ekivale,agileju,ekivaLu,class__none
sabe,satu,sei,class__none
idea,adi,ideiu,class__none
esta,estu,estou,class__none
prove,prefu,proveNu,class__none
sobresta,sutpEstu,sobrestou,class__none
kere,tenu,kEru,class__none
entrekere,entreettu,entrekEru,class__none
