infinitive,predicted,target,class
odia,otuu,odeiu,class__ansiar
media,meteiu,medeiu,class__ansiar
hemedia,hepeitu,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,entenkeniu,intermedeiu,class__ansiar
insendia,insetenu,insendeiu,class__ansiar
pleitea,pele$,pleiteiu,class__ansiar
ansia,ansu,anseiu,class__ansiar
pasea,pasesu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,nOtu,nOtu,class__botar
boia,bu,bOiu,class__botar
koloka,kolku,kolOku,class__botar
oLa,ou,OLu,class__botar
korta,kortu,kOrtu,class__botar
akorda,akurtu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imu,aumOsu,class__botar
gosta,gossu,gOstu,class__botar
volta,jultu,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,mostru,mOstru,class__botar
troka,trEku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,henpOru,hetOrnu,class__botar
bota,pOsu,bOtu,class__botar
torna,tOrnu,tOrnu,class__botar
informa,infuru,infOrmu,class__botar
enkosta,enkondu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekutru,hekOrtu,class__botar
toma,tu,tOmu,class__botar
kobri,kondu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,dezkuttu,deskubru,class__cobrir
enkobri,enkOttu,enkubru,class__cobrir
hekobri,heguttu,hekubru,class__cobrir
sorti,sutru,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hedizu,hedigu,class__dizer
desdize,des$stu,desdigu,class__dizer
entredize,entretesu,entredigu,class__dizer
interdize,intertezu,interdigu,class__dizer
kondize,konzisu,kondigu,class__dizer
kontradize,kontrasizu,kontradigu,class__dizer
despraze,desprazu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adis$su,adijasu,class__fazer
putrefaze,pretesfidu,putrefasu,class__fazer
benfaze,besesfu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
