infinitive,predicted,target,class
odia,Otuu,odeiu,class__ansiar
media,mengu,medeiu,class__ansiar
hemedia,heme$giu,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,innetteetu,intermedeiu,class__ansiar
insendia,ins$$$nu,insendeiu,class__ansiar
pleitea,peliti,pleiteiu,class__ansiar
ansia,atisu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,nOtu,nOtu,class__botar
boia,bOxu,bOiu,class__botar
koloka,kopulu,kolOku,class__botar
oLa,,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akurtu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imuntu,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,folku,vOltu,class__botar
joga,jOgu,jOgu,class__botar
mostra,mors$u,mOstru,class__botar
troka,treku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,fOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hestriiu,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,trOtu,tOrnu,class__botar
informa,infuttu,infOrmu,class__botar
enkosta,enkOstu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,Oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tumu,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tOsu,tusu,class__cobrir
engoli,engulu,engulu,class__cobrir
deskobri,deskuttu,deskubru,class__cobrir
enkobri,enkondu,enkubru,class__cobrir
hekobri,hebOktu,hekubru,class__cobrir
sorti,sutru,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hedizu,hedigu,class__dizer
desdize,destisu,desdigu,class__dizer
entredize,entrezedu,entredigu,class__dizer
interdize,interdevi,interdigu,class__dizer
kondize,konziru,kondigu,class__dizer
kontradize,kontrasasu,kontradigu,class__dizer
despraze,destrevi,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivesu,adijasu,class__fazer
putrefaze,penfessu,putrefasu,class__fazer
benfaze,besfasu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,asasef$su,satisfasu,class__fazer
insatisfaze,insenfasasu,insatisfasu,class__fazer
likefaze,agifas$u,likefasu,class__fazer
transfaze,transfasu,transfasu,class__fazer
