infinitive,predicted,target,class
odia,$$uu,odeiu,class__ansiar
media,mereuu,medeiu,class__ansiar
hemedia,hepeadu,hemedeiu,class__ansiar
sortea,sutrenu,sorteiu,class__ansiar
intermedia,antrependu,intermedeiu,class__ansiar
insendia,insatEru,insendeiu,class__ansiar
pleitea,pe$kaiu,pleiteiu,class__ansiar
ansia,anasu,anseiu,class__ansiar
pasea,paseiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupru,hebOku,class__botar
nota,sontu,nOtu,class__botar
boia,buu,bOiu,class__botar
koloka,kO,kolOku,class__botar
oLa,$ou,OLu,class__botar
korta,kontru,kOrtu,class__botar
akorda,akrEdu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,in$upu,aumOsu,class__botar
gosta,desku,gOstu,class__botar
volta,vo,vOltu,class__botar
joga,vOgu,jOgu,class__botar
mostra,$untru,mOstru,class__botar
troka,triku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xurtu,xOru,class__botar
tosta,tustu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hentriu,hetOrnu,class__botar
bota,bO,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infuntu,infOrmu,class__botar
enkosta,enkondu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$Oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tum,tOmu,class__botar
kobri,kopru,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,desprugu,deskubru,class__cobrir
enkobri,enkondu,enkubru,class__cobrir
hekobri,hebOttu,hekubru,class__cobrir
sorti,surt,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hezidu,hedigu,class__dizer
desdize,deskasu,desdigu,class__dizer
entredize,entretesu,entredigu,class__dizer
interdize,itretrevu,interdigu,class__dizer
kondize,kontrau,kondigu,class__dizer
kontradize,kontrasesu,kontradigu,class__dizer
despraze,destravu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,tonzinzeu,putrefasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,assa$$ffu,satisfasu,class__fazer
insatisfaze,interesfasu,insatisfasu,class__fazer
likefaze,abifasu,likefasu,class__fazer
transfaze,transstuu,transfasu,class__fazer
kontrafaze,kontrafasu,kontrafasu,class__fazer
tohefaze,he$of$su,tohefasu,class__fazer
harefaze,sasassu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,masafu,maufasu,class__fazer
kre,kri,kreiu,class__ler
tresle,trenxeuu,treleiu,class__ler
le,leu,leiu,class__ler
hele,he$li,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,desmantu,desmintu,class__mentir
konsenti,kons$ntu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prenesu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,astenu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,pertentu,persintu,class__mentir
entreouvi,entrovuu,entreousu,class__none
reouvi,$$tuxu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hekeru,hekEru,class__none
traze,trasu,tragu,class__none
desda,desgu,dEsdu,class__none
kabe,kapu,kaibu,class__none
da,zi,dou,class__none
ekivale,adixeju,ekivaLu,class__none
sabe,satu,sei,class__none
idea,adeiu,ideiu,class__none
esta,estu,estou,class__none
prove,provi,proveNu,class__none
sobresta,desprezu,sobrestou,class__none
kere,kenu,kEru,class__none
entrekere,entreet$u,entrekEru,class__none
pode,potpu,pOsu,class__none
estrea,estre$u,estrEiu,class__none
ouvi,osu,ousu,class__none
dezimpedi,despimdu,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,deskubu,despEsu,class__pedir
impedi,$imptu,impEsu,class__pedir
pedi,beuu,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,despinu,desmEsu,class__pedir
predispo,bret$$tu,predispoNu,class__por
indispo,intuttu,indispoNu,class__por
dezapo,dezebu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontrEku,kontrapoNu,class__por
pospo,ponbu,pospoNu,class__por
dispo,dispu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,trenttu,transpoNu,class__por
espo,entu,espoNu,class__por
interpo,entontu,interpoNu,class__por
hedispo,hede$ku,hedispoNu,class__por
