infinitive,predicted,target,class
odia,uduu,odeiu,class__ansiar
media,menguu,medeiu,class__ansiar
hemedia,hemediiu,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,intentErku,intermedeiu,class__ansiar
insendia,intenseiu,insendeiu,class__ansiar
pleitea,pepaxi,pleiteiu,class__ansiar
ansia,ansu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,nonu,nOtu,class__botar
boia,bu,bOiu,class__botar
koloka,ko$bu,kolOku,class__botar
oLa,$u,OLu,class__botar
korta,kontru,kOrtu,class__botar
akorda,akurdu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imidu,aumOsu,class__botar
gosta,gustu,gOstu,class__botar
volta,xufpu,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,mors$u,mOstru,class__botar
troka,trogu,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hentriu,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,trupu,tOrnu,class__botar
informa,inxutru,infOrmu,class__botar
enkosta,enkondu,enkOstu,class__botar
toka,tOtu,tOku,class__botar
ora,$Oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tO,tOmu,class__botar
kobri,komtru,kubru,class__cobrir
tosi,tOsu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,dezkOgu,deskubru,class__cobrir
enkobri,ek$rtu,enkubru,class__cobrir
hekobri,hepOkru,hekubru,class__cobrir
sorti,sotru,surtu,class__cobrir
dize,dezu,digu,class__dizer
hedize,hedesu,hedigu,class__dizer
desdize,deskasu,desdigu,class__dizer
entredize,entreketu,entredigu,class__dizer
interdize,interdezu,interdigu,class__dizer
kondize,kontisu,kondigu,class__dizer
kontradize,kontrazisu,kontradigu,class__dizer
despraze,despresu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,p$rfirfu,putrefasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
perfaze,pesfesu,perfasu,class__fazer
satisfaze,sarisfasu,satisfasu,class__fazer
insatisfaze,insentefaxu,insatisfasu,class__fazer
likefaze,egefat,likefasu,class__fazer
transfaze,transs$$u,transfasu,class__fazer
kontrafaze,kont$az$,kontrafasu,class__fazer
tohefaze,tofisisu,tohefasu,class__fazer
harefaze,atifasu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,amuzsi,maufasu,class__fazer
kre,kOru,kreiu,class__ler
tresle,tre$,treleiu,class__ler
le,$leu,leiu,class__ler
hele,he$,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,tenteni,desmintu,class__mentir
konsenti,kons$riu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prenesu,presintu,class__mentir
menti,mendu,mintu,class__mentir
asenti,ansenu,asintu,class__mentir
hesenti,hen$$enu,hesintu,class__mentir
persenti,pertendu,persintu,class__mentir
entreouvi,entos$uju,entreousu,class__none
reouvi,etufuu,reousu,class__none
pari,paru,pairu,class__none
perde,pertesu,perku,class__none
hekere,heperu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desgu,dEsdu,class__none
kabe,kapu,kaibu,class__none
da,deu,dou,class__none
ekivale,akulesu,ekivaLu,class__none
sabe,sagu,sei,class__none
idea,adiiu,ideiu,class__none
esta,estu,estou,class__none
prove,prefoju,proveNu,class__none
sobresta,disprezu,sobrestou,class__none
kere,keru,kEru,class__none
entrekere,ententreuu,entrekEru,class__none
pode,podu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,osuju,ousu,class__none
dezimpedi,despimtu,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,despitu,despEsu,class__pedir
impedi,impidu,impEsu,class__pedir
pedi,pEku,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,despitu,desmEsu,class__pedir
predispo,pret$$u,predispoNu,class__por
indispo,intu,indispoNu,class__por
dezapo,de$pi,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontretu,kontrapoNu,class__por
pospo,pontu,pospoNu,class__por
dispo,despu,dispoNu,class__por
despo,desku,despoNu,class__por
transpo,trend$u,transpoNu,class__por
espo,eto,espoNu,class__por
interpo,entrepu,interpoNu,class__por
hedispo,hetpendu,hedispoNu,class__por
antepo,amtenu,antepoNu,class__por
deskompo,despumtu,deskompoNu,class__por
justapo,zuzettu,justapoNu,class__por
trespo,tren$u,trespoNu,class__por
dekompo,tonpu,dekompoNu,class__por
supo,su,supoNu,class__por
presupo,prenupu,presupoNu,class__por
hekompo,hempOpu,hekompoNu,class__por
entrepo,entremu,entrepoNu,class__por
prosupo,promutu,prosupoNu,class__por
propo,promu,propoNu,class__por
depo,de$pu,depoNu,class__por
impo,mimu,impoNu,class__por
superpo,$oprupu,superpoNu,class__por
sofre,sos$,sofru,class__regular
disouve,difu,disouvu,class__regular
kohiji,ko$fi,kohiju,class__regular
envouve,o,envouvu,class__regular
mexe,mexu,mexu,class__regular
kompraze,komprasu,komprazu,class__regular
presiza,presisu,presizu,class__regular
analiza,amaz$u,analisu,class__regular
eriji,enju,eriju,class__regular
hompe,hopeNu,hompu,class__regular
konvida,konfidu,konvidu,class__regular
planta,p$$$tu,plantu,class__regular
levanta,la$$r$u,levantu,class__regular
fala,xaxu,falu,class__regular
anda,atu,andu,class__regular
kumpri,kompru,kumpru,class__regular
konjuga,konvugu,konjugu,class__regular
xama,xamu,xamu,class__regular
murxa,mustu,murxu,class__regular
eskreve,estreveju,eskrevu,class__regular
kontinua,kontenuu,kontinuu,class__regular
krese,tresu,kresu,class__regular
ezerse,estesu,ezersu,class__regular
liga,liu,ligu,class__regular
brinka,pridu,brinku,class__regular
trabaLa,tantaiu,trabaLu,class__regular
subimete,komizitu,subimetu,class__regular
hespeita,hetintiu,hespeitu,class__regular
vende,hedesu,vendu,class__regular
sede,sedu,sedu,class__regular
