infinitive,predicted,target,class
odia,opuu,odeiu,class__ansiar
media,meteiu,medeiu,class__ansiar
hemedia,hemeteiu,hemedeiu,class__ansiar
sortea,sostreiu,sorteiu,class__ansiar
intermedia,intenteteuu,intermedeiu,class__ansiar
insendia,insitinu,insendeiu,class__ansiar
pleitea,peleaku,pleiteiu,class__ansiar
ansia,anasu,anseiu,class__ansiar
pasea,paasu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
nota,nontu,nOtu,class__botar
boia,bu,bOiu,class__botar
koloka,koliju,kolOku,class__botar
oLa,oou,OLu,class__botar
korta,kontru,kOrtu,class__botar
akorda,akOrtu,akOrdu,class__botar
kosa,kosu,kOsu,class__botar
aumosa,emuxu,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,vu,vOltu,class__botar
joga,vugu,jOgu,class__botar
mostra,murtru,mOstru,class__botar
troka,triku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xur,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hentru,hetOrnu,class__botar
bota,bOdu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,insistu,infOrmu,class__botar
enkosta,enkOstu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,Otu,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hetOrtu,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,kondu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkulu,engulu,class__cobrir
deskobri,dezkOttu,deskubru,class__cobrir
enkobri,enkupru,enkubru,class__cobrir
hekobri,hekOku,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hes$ru,hedigu,class__dizer
desdize,destizu,desdigu,class__dizer
entredize,entretesu,entredigu,class__dizer
interdize,intertezu,interdigu,class__dizer
kondize,kontrau,kondigu,class__dizer
kontradize,kontradizu,kontradigu,class__dizer
despraze,destretu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adifasu,adijasu,class__fazer
putrefaze,kons$asu,putrefasu,class__fazer
benfaze,pesesfu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,sar$afasu,satisfasu,class__fazer
insatisfaze,issesesesesu,insatisfasu,class__fazer
likefaze,aji,likefasu,class__fazer
transfaze,transazu,transfasu,class__fazer
kontrafaze,kontras$su,kontrafasu,class__fazer
tohefaze,sohe$f$,tohefasu,class__fazer
harefaze,saasissu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,emusfisu,maufasu,class__fazer
kre,kreu,kreiu,class__ler
tresle,trezitu,treleiu,class__ler
le,xeiu,leiu,class__ler
hele,heleu,heleiu,class__ler
deskre,destruu,deskreiu,class__ler
desmenti,desm$nu,desmintu,class__mentir
konsenti,kontresu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,ternesuu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,asintu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,presestu,persintu,class__mentir
entreouvi,entrovuu,entreousu,class__none
reouvi,enduu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hekentu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desdu,dEsdu,class__none
kabe,kapi,kaibu,class__none
da,zeNu,dou,class__none
ekivale,agexaxu,ekivaLu,class__none
sabe,fatu,sei,class__none
idea,adi,ideiu,class__none
esta,estu,estou,class__none
prove,prevu,proveNu,class__none
sobresta,tostErtu,sobrestou,class__none
kere,kentu,kEru,class__none
entrekere,entrenesu,entrekEru,class__none
pode,popu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,ouvu,ousu,class__none
dezimpedi,dezpi$$,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,despitu,despEsu,class__pedir
impedi,imupitu,impEsu,class__pedir
pedi,pedu,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,denpuzu,desmEsu,class__pedir
predispo,prem$duu,predispoNu,class__por
indispo,intendu,indispoNu,class__por
dezapo,despi,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontradu,kontrapoNu,class__por
pospo,pomtu,pospoNu,class__por
dispo,disku,dispoNu,class__por
despo,dezku,despoNu,class__por
transpo,trandu,transpoNu,class__por
espo,espu,espoNu,class__por
interpo,ent$$tu,interpoNu,class__por
hedispo,hestesu,hedispoNu,class__por
antepo,enk$$u,antepoNu,class__por
deskompo,deskompu,deskompoNu,class__por
justapo,suprefu,justapoNu,class__por
trespo,treteuu,trespoNu,class__por
dekompo,to$pum,dekompoNu,class__por
supo,supu,supoNu,class__por
presupo,pretu,presupoNu,class__por
hekompo,hepupu,hekompoNu,class__por
entrepo,entrepu,entrepoNu,class__por
prosupo,pro$utu,prosupoNu,class__por
propo,propu,propoNu,class__por
depo,depu,depoNu,class__por
impo,memu,impoNu,class__por
superpo,soppEr$u,superpoNu,class__por
sofre,sostu,sofru,class__regular
disouve,desufuu,disouvu,class__regular
kohiji,$$$xuu,kohiju,class__regular
envouve,envo,envouvu,class__regular
mexe,mexu,mexu,class__regular
kompraze,komprasu,komprazu,class__regular
presiza,tresizu,presizu,class__regular
analiza,amazixu,analisu,class__regular
eriji,enduu,eriju,class__regular
hompe,hepenu,hompu,class__regular
konvida,konvitu,konvidu,class__regular
planta,paasru,plantu,class__regular
levanta,lefastu,levantu,class__regular
fala,faxu,falu,class__regular
anda,antu,andu,class__regular
kumpri,kompru,kumpru,class__regular
konjuga,kosxudu,konjugu,class__regular
xama,xaNu,xamu,class__regular
murxa,murxu,murxu,class__regular
eskreve,ettesfu,eskrevu,class__regular
kontinua,kontanuu,kontinuu,class__regular
krese,tresisu,kresu,class__regular
ezerse,estesu,ezersu,class__regular
liga,libu,ligu,class__regular
brinka,pretiu,brinku,class__regular
trabaLa,traatu,trabaLu,class__regular
subimete,zop$$$anu,subimetu,class__regular
hespeita,hepe$tiu,hespeitu,class__regular
vende,fettu,vendu,class__regular
sede,seto,sedu,class__regular
agradese,adattesu,agradesu,class__regular
koNese,kone$u,koNesu,class__regular
voa,vu,vou,class__regular
nada,$ntu,nadu,class__regular
para,paru,paru,class__regular
kome,kOmu,komu,class__regular
permiti,perpinu,permitu,class__regular
lava,laju,lavu,class__regular
dese,deseNu,desu,class__regular
beija,bexiu,beiju,class__regular
kohe,kohi,kohu,class__regular
permanese,pententiu,permanesu,class__regular
uza,su,uzu,class__regular
esklui,eskulu,eskluu,class__regular
kompreende,kompertenu,kompreendu,class__regular
dezisti,dessesu,dezistu,class__regular
aparese,aparei,aparesu,class__regular
envia,esizu,enviu,class__regular
kai,kaiu,kaiu,class__regular
imprimi,manpiru,imprimu,class__regular
imerji,emirju,imerju,class__regular
subimerji,tumlidiju,subimerju,class__regular
benze,bentu,benzu,class__regular
gaNa,kaNu,gaNu,class__regular
aseita,asiti,aseitu,class__regular
konfuji,konvu,konfuju,class__regular
segura,sekutu,seguru,class__regular
suspende,sut$$n$u,suspendu,class__regular
junta,sumtu,juntu,class__regular
kohompe,kompOhu,kohompu,class__regular
atrai,atri,atraiu,class__regular
kultiva,kunvilu,kultivu,class__regular
eskuta,eskutu,eskutu,class__regular
mata,matu,matu,class__regular
paga,paku,pagu,class__regular
sai,seiu,saiu,class__regular
bate,bateNu,batu,class__regular
eskoLe,eske,eskoLu,class__regular
asende,an$s$,asendu,class__regular
esvai,esfauu,esvaiu,class__regular
destrui,destutu,destruu,class__regular
dormi,trumu,durmu,class__regular
okohe,omku,okohu,class__regular
diriji,disisu,diriju,class__regular
muda,mudu,mudu,class__regular
esprimi,ent$$u,esprimu,class__regular
farta,fartu,fartu,class__regular
trai,traiu,traiu,class__regular
mingua,momgu,minguu,class__regular
desmobilia,te$limbuu,desmobiliu,class__regular
sohi,su,sohiu,class__regular
perverte,persestu,pervertu,class__regular
preklui,preuguu,prekluu,class__regular
kontrai,kontrauu,kontraiu,class__regular
estingi,intEdu,estingu,class__regular
desprekave,tet$$stevu,desprekavu,class__regular
televe,$$kefixu,televu,class__regular
entupi,entupu,entupu,class__regular
deskalsa,des$$$,deskalsu,class__regular
gasta,gast,gastu,class__regular
finda,findu,findu,class__regular
kuspi,kunzu,kuspu,class__regular
pretende,prentenu,pretendu,class__regular
deve,devu,devu,class__regular
