infinitive,predicted,target,class
odia,eduu,odeiu,class__ansiar
media,menguu,medeiu,class__ansiar
hemedia,hepeidu,hemedeiu,class__ansiar
sortea,sotreiu,sorteiu,class__ansiar
intermedia,intenteatu,intermedeiu,class__ansiar
insendia,insetenu,insendeiu,class__ansiar
pleitea,p$aligu,pleiteiu,class__ansiar
ansia,anisu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegupu,hebOku,class__botar
nota,nOtu,nOtu,class__botar
boia,bu,bOiu,class__botar
koloka,kolkuu,kolOku,class__botar
oLa,ou,OLu,class__botar
korta,kontru,kOrtu,class__botar
akorda,ak$$tru,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imizu,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,vul$,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,mortisu,mOstru,class__botar
troka,trugu,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tostoNu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hesprinu,hetOrnu,class__botar
bota,bOku,bOtu,class__botar
torna,trOku,tOrnu,class__botar
informa,in$fEru,infOrmu,class__botar
enkosta,enkustu,enkOstu,class__botar
toka,dOku,tOku,class__botar
ora,Oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,postu,pOstu,class__botar
hekorta,hedOttu,hekOrtu,class__botar
toma,tumu,tOmu,class__botar
kobri,konbu,kubru,class__cobrir
tosi,tOsu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,desprudu,deskubru,class__cobrir
enkobri,enkupru,enkubru,class__cobrir
hekobri,hebOtru,hekubru,class__cobrir
sorti,sutru,surtu,class__cobrir
dize,desu,digu,class__dizer
hedize,hesidu,hedigu,class__dizer
desdize,dezkrisu,desdigu,class__dizer
entredize,etretrevu,entredigu,class__dizer
interdize,intredezu,interdigu,class__dizer
kondize,kontizu,kondigu,class__dizer
kontradize,kontratasu,kontradigu,class__dizer
despraze,despresu,desprasu,class__fazer
faze,vasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,konzesazu,putrefasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,tasisfasu,satisfasu,class__fazer
insatisfaze,in$asesas$u,insatisfasu,class__fazer
likefaze,ajijarvu,likefasu,class__fazer
transfaze,transs$,transfasu,class__fazer
kontrafaze,kontravasu,kontrafasu,class__fazer
tohefaze,hoves$,tohefasu,class__fazer
harefaze,hesasasu,harefasu,class__fazer
esfaze,esvasu,esfasu,class__fazer
maufaze,imivasu,maufasu,class__fazer
kre,k$,kreiu,class__ler
tresle,tredexu,treleiu,class__ler
le,$$u,leiu,class__ler
hele,heli,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,despintu,desmintu,class__mentir
konsenti,kontranu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prentinu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,antinu,asintu,class__mentir
hesenti,hetenisu,hesintu,class__mentir
persenti,pertenu,persintu,class__mentir
entreouvi,entruviru,entreousu,class__none
reouvi,orouju,reousu,class__none
pari,paru,pairu,class__none
perde,perdeNu,perku,class__none
hekere,hetenu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desku,dEsdu,class__none
kabe,kapu,kaibu,class__none
da,teu,dou,class__none
ekivale,agixi,ekivaLu,class__none
sabe,sagu,sei,class__none
idea,ati,ideiu,class__none
esta,estu,estou,class__none
prove,prevu,proveNu,class__none
sobresta,sodretru,sobrestou,class__none
kere,kenu,kEru,class__none
entrekere,entretesu,entrekEru,class__none
pode,podu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,o$vu,ousu,class__none
dezimpedi,dezepidu,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,despitu,despEsu,class__pedir
impedi,amidtu,impEsu,class__pedir
pedi,pEku,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,denizu,desmEsu,class__pedir
predispo,brepridu,predispoNu,class__por
indispo,ink$$tu,indispoNu,class__por
dezapo,detenu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontradu,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,dispu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,trent$u,transpoNu,class__por
espo,esku,espoNu,class__por
interpo,int$$n,interpoNu,class__por
hedispo,hede$utu,hedispoNu,class__por
antepo,at$mmu,antepoNu,class__por
deskompo,despupu,deskompoNu,class__por
justapo,subindu,justapoNu,class__por
trespo,tren$u,trespoNu,class__por
dekompo,konkupu,dekompoNu,class__por
supo,sumpu,supoNu,class__por
presupo,presupu,presupoNu,class__por
hekompo,hepopu,hekompoNu,class__por
entrepo,entrepu,entrepoNu,class__por
prosupo,proutu,prosupoNu,class__por
propo,propu,propoNu,class__por
depo,depu,depoNu,class__por
impo,empu,impoNu,class__por
superpo,$opOttu,superpoNu,class__por
sofre,sosso,sofru,class__regular
disouve,disusu,disouvu,class__regular
kohiji,kosfu,kohiju,class__regular
envouve,enfOrju,envouvu,class__regular
mexe,mexu,mexu,class__regular
kompraze,komprasu,komprazu,class__regular
presiza,presizu,presizu,class__regular
analiza,anave,analisu,class__regular
eriji,endu,eriju,class__regular
hompe,hopeNu,hompu,class__regular
konvida,konvitu,konvidu,class__regular
planta,banti,plantu,class__regular
levanta,xamistu,levantu,class__regular
fala,falu,falu,class__regular
anda,attu,andu,class__regular
kumpri,kompru,kumpru,class__regular
konjuga,konvugu,konjugu,class__regular
xama,$aNu,xamu,class__regular
murxa,mos$u,murxu,class__regular
eskreve,etteveju,eskrevu,class__regular
kontinua,kontEnuu,kontinuu,class__regular
krese,prasu,kresu,class__regular
ezerse,ezestu,ezersu,class__regular
liga,abu,ligu,class__regular
brinka,pretiu,brinku,class__regular
trabaLa,trataNu,trabaLu,class__regular
subimete,$$m$bei,subimetu,class__regular
hespeita,hepErtiu,hespeitu,class__regular
vende,vestu,vendu,class__regular
sede,seto,sedu,class__regular
agradese,adarasi,agradesu,class__regular
koNese,konesu,koNesu,class__regular
voa,vu,vou,class__regular
nada,tEtu,nadu,class__regular
para,paiu,paru,class__regular
kome,koNu,komu,class__regular
permiti,pentinu,permitu,class__regular
lava,lavu,lavu,class__regular
dese,deseNu,desu,class__regular
beija,baju,beiju,class__regular
kohe,kosu,kohu,class__regular
permanese,pen$ensu,permanesu,class__regular
uza,$uu,uzu,class__regular
esklui,eskulu,eskluu,class__regular
kompreende,kompertenu,kompreendu,class__regular
dezisti,disiztu,dezistu,class__regular
aparese,apansi,aparesu,class__regular
envia,esivu,enviu,class__regular
kai,kaiu,kaiu,class__regular
imprimi,imp$,imprimu,class__regular
imerji,imiz,imerju,class__regular
subimerji,tumisevu,subimerju,class__regular
benze,benzu,benzu,class__regular
gaNa,kaNu,gaNu,class__regular
aseita,asiteu,aseitu,class__regular
konfuji,konvisu,konfuju,class__regular
segura,siguru,seguru,class__regular
suspende,sub$renu,suspendu,class__regular
junta,vumtu,juntu,class__regular
kohompe,kompEsu,kohompu,class__regular
atrai,atreiu,atraiu,class__regular
kultiva,ku,kultivu,class__regular
eskuta,eskutu,eskutu,class__regular
mata,matu,matu,class__regular
paga,pagu,pagu,class__regular
sai,saiu,saiu,class__regular
bate,bateNu,batu,class__regular
eskoLe,eskO,eskoLu,class__regular
asende,antesu,asendu,class__regular
esvai,esfisu,esvaiu,class__regular
destrui,destruu,destruu,class__regular
dormi,tontu,durmu,class__regular
okohe,oposou,okohu,class__regular
diriji,dis$u,diriju,class__regular
muda,mudu,mudu,class__regular
esprimi,entriiu,esprimu,class__regular
farta,fartu,fartu,class__regular
trai,trapu,traiu,class__regular
mingua,matizu,minguu,class__regular
desmobilia,tompeisuu,desmobiliu,class__regular
sohi,susu,sohiu,class__regular
perverte,pertesesu,pervertu,class__regular
preklui,pregulu,prekluu,class__regular
kontrai,kontra,kontraiu,class__regular
estingi,eskridu,estingu,class__regular
desprekave,dettesesu,desprekavu,class__regular
televe,etpevixu,televu,class__regular
entupi,enkupu,entupu,class__regular
deskalsa,deskasu,deskalsu,class__regular
gasta,garizu,gastu,class__regular
finda,findu,findu,class__regular
kuspi,kundu,kuspu,class__regular
pretende,pret$atu,pretendu,class__regular
deve,devu,devu,class__regular
enkamiNa,atummiNu,enkamiNu,class__regular
atribui,attisu,atribuu,class__regular
estuda,estutu,istudu,class__regular
sauva,sisiu,sauvu,class__regular
prende,prendu,prendu,class__regular
espulsa,espiz$u,espulsu,class__regular
hevolve,heveju,hevolvu,class__regular
enxuga,enjuku,enxugu,class__regular
despoli,despilu,despolu,class__regular
eskapuli,eskiluu,eskapulu,class__regular
hetrai,heteriu,hetraiu,class__regular
moe,mo,mou,class__regular
abri,apru,abru,class__regular
konklui,kontluu,konkluu,class__regular
atinji,atisi,atinju,class__regular
okulta,komguu,okultu,class__regular
izenta,asittu,izentu,class__regular
limpa,limbu,limpu,class__regular
konvense,konfestu,konvensu,class__regular
heda,hegu,hedu,class__regular
emerji,en$$xu,emerju,class__regular
transfuji,transfisu,transfuju,class__regular
mobilia,pumpixu,mobiliu,class__regular
posui,pusu,posuu,class__regular
fuji,fuju,fuju,class__regular
adiverti,adizarsu,adivertu,class__regular
desprove,desprevu,desprovu,class__regular
konsumi,konsu,konsumu,class__regular
distrai,distri,distraiu,class__regular
akudi,akudu,akudu,class__regular
subi,su,subu,class__regular
eleje,eleju,eleju,class__regular
influi,inxilu,influu,class__regular
hemedi,hempiu,hemedu,class__regular
dezagua,deziguu,dezaguu,class__regular
inkohe,entOsu,inkohu,class__regular
tenta,tentu,tentu,class__regular
healiza,efalisu,healisu,class__regular
desidi,desidu,desidu,class__regular
eskese,eskasu,eskesu,class__regular
imajina,amalisu,imajinu,class__regular
lembra,lippru,lembru,class__regular
aproveita,maresetu,aproveitu,class__regular
omiti,omitu,omitu,class__regular
ensina,ensinu,ensinu,class__regular
marka,martu,marku,class__regular
kamiNa,ak$imu,kamiNu,class__regular
friji,sixu,friju,class__regular
prokura,prokutu,prokuru,class__regular
surji,sussu,surju,class__regular
konstrui,kontruu,konstruu,class__regular
kanta,kantu,kantu,class__regular
vahe,vafi,vahu,class__regular
merese,meresu,meresu,class__regular
grita,graku,gritu,class__regular
xove,xOvu,xovu,class__regular
kativa,kanvu,kativu,class__regular
viaja,vaxu,viaju,class__regular
dezeja,defaju,dezeju,class__regular
pula,pulu,pulu,class__regular
akompaNa,apimpu,akompaNu,class__regular
dividi,dijiru,dividu,class__regular
aguarda,akuttiru,aguardu,class__regular
zoa,suu,zou,class__regular
xega,$ju,xegu,class__regular
buli,pulu,bulu,class__regular
atende,atendu,atendu,class__regular
pasa,pasu,pasu,class__regular
ajuda,ajudu,ajudu,class__regular
dansa,tastu,dansu,class__regular
enkontra,enkOrtu,enkontru,class__regular
buska,guxpu,busku,class__regular
inisia,insiaiu,inisiu,class__regular
enxe,en$,enxu,class__regular
oferese,o$esteNu,oferesu,class__regular
adikiri,adisiku,adikiru,class__regular
bebe,pegu,bebu,class__regular
aprezentar,atratesesu,aprezentu,class__regular
parti,partu,partu,class__regular
parese,paresu,paresu,class__regular
soNa,sO,soNu,class__regular
kaza,kauu,kazu,class__regular
julga,jubu,julgu,class__regular
hi,seju,hiu,class__regular
inklui,intluu,inkluu,class__regular
afliji,a$xiju,afliju,class__regular
kontravi,kontravu,kontravu,class__regular
mohe,moho,mohu,class__regular
sumi,sumu,sumu,class__regular
jaze,jexu,jazu,class__regular
denfende,densenzu,defendu,class__regular
tende,tent,tendu,class__regular
sakudi,sikutu,sakudu,class__regular
aprende,atrapeNu,aprendu,class__regular
kompartiLa,kompEralu,kompartiLu,class__regular
entende,entendu,entendu,class__regular
deixa,dexu,deixu,class__regular
deslingua,defepitu,deslinguu,class__regular
lambuza,lam$du,lambuzu,class__regular
akontese,apOrstu,akontesu,class__regular
pensa,pensu,pensu,class__regular
fika,fEku,fiku,class__regular
senta,sentu,sentu,class__regular
ezisti,izestu,ezistu,class__regular
konta,kontu,kontu,class__regular
finji,fix,finju,class__regular
axa,axu,axu,class__regular
aviza,avisu,avizu,class__regular
kompra,kompru,kompru,class__regular
aji,aju,aju,class__regular
asisti,asistu,asistu,class__regular
eduka,egudu,eduku,class__regular
ama,amu,amu,class__regular
akaba,agapu,akabu,class__regular
diskuti,diskudu,diskutu,class__regular
entra,entru,entru,class__regular
garanti,kartanu,garantu,class__regular
preukupa,prekupuu,preukupu,class__regular
manda,mantu,mandu,class__regular
partisipa,parantu,partisipu,class__regular
dijeri,difiru,dijiru,class__seguir
persegi,pergu,persigu,class__seguir
espeli,eseliu,espilu,class__seguir
servi,sessu,sirvu,class__seguir
preveni,prefenu,previnu,class__seguir
agredi,agirdu,agridu,class__seguir
progredi,pregudru,progridu,class__seguir
inseri,insiru,insiru,class__seguir
kompeti,kompitu,kompitu,class__seguir
diverti,divirdu,divirtu,class__seguir
transgredi,tratrevitu,transgridu,class__seguir
sujeri,suf$,sujiru,class__seguir
aderi,adiru,adiru,class__seguir
preferi,prefiru,prefiru,class__seguir
feri,fEru,firu,class__seguir
regredi,terkutu,regridu,class__seguir
segi,sigu,sigu,class__seguir
deferi,defiru,defiru,class__seguir
konsegi,kontidu,konsigu,class__seguir
kompeli,kompliu,kompilu,class__seguir
injeri,infiru,injiru,class__seguir
konferi,konsiru,konfiru,class__seguir
vesti,virdu,vistu,class__seguir
aferi,afiru,afiru,class__seguir
preteri,pret$$u,pretiru,class__seguir
konverji,konviz$u,konvirju,class__seguir
hepeti,hebitu,hepitu,class__seguir
entrete,entretu,entreteNu,class__ter
dete,tetu,deteNu,class__ter
konte,kontu,konteNu,class__ter
obite,obutu,obiteNu,class__ter
mante,mant,manteNu,class__ter
abiste,aginzu,abisteNu,class__ter
hete,hepenu,heteNu,class__ter
te,tetu,teNu,class__ter
suste,suztinu,susteNu,class__ter
ate,ateNu,ateNu,class__ter
headekua,hetEkuku,headEkuu,class__testar
komesa,kompu,komEsu,class__testar
adekua,aditku,adEkuu,class__testar
seka,seku,sEku,class__testar
leva,levu,lEvu,class__testar
sega,segu,sEgu,class__testar
pega,pegu,pEgu,class__testar
kompleta,kompittu,komplEtu,class__testar
infekita,espinvi,infEkitu,class__testar
espresa,estresu,esprEsu,class__testar
detesta,destenu,detEstu,class__testar
fexa,fexu,fExu,class__testar
konversa,konfarsu,konvErsu,class__testar
obiserva,pesfassu,obisErvu,class__testar
protesta,prestruu,protEstu,class__testar
espera,eskri,espEru,class__testar
testa,testu,tEstu,class__testar
entrega,entEttu,entrEgu,class__testar
manifesta,inafanzu,manifEstu,class__testar
empresta,pentesku,emprEstu,class__testar
preve,previ,preveju,class__ver
interve,intesfexu,interveju,class__ver
anteve,anesdu,anteveju,class__ver
entreve,entreveju,entreveju,class__ver
ve,veju,veju,class__ver
heve,hesu,heveju,class__ver
dezavi,desivu,dezaveNu,class__vir
sobrevi,tovervu,sobreveNu,class__vir
obivi,obu,obiveNu,class__vir
hevi,hevixu,heveNu,class__vir
vi,zuu,veNu,class__vir
adivi,adivu,adiveNu,class__vir
deskonvi,desposfu,deskonveNu,class__vir
avi,azu,aveNu,class__vir
hekonvi,hesotuu,hekonveNu,class__vir
konvi,konvu,konveNu,class__vir
provi,provu,proveNu,class__vir
