infinitive,predicted,target,class
odia,otu,odeiu,class__ansiar
media,mariu,medeiu,class__ansiar
hemedia,hepeneiu,hemedeiu,class__ansiar
sortea,setreiu,sorteiu,class__ansiar
intermedia,intenteidu,intermedeiu,class__ansiar
insendia,insatinu,insendeiu,class__ansiar
pleitea,pe$Esu,pleiteiu,class__ansiar
ansia,ansu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekOgu,hebOku,class__botar
nota,nonu,nOtu,class__botar
boia,buxu,bOiu,class__botar
koloka,kolku,kolOku,class__botar
oLa,ou,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akurtu,akOrdu,class__botar
kosa,kosu,kOsu,class__botar
aumosa,imisu,aumOsu,class__botar
gosta,kostu,gOstu,class__botar
volta,vu,vOltu,class__botar
joga,jogu,jOgu,class__botar
mostra,mortru,mOstru,class__botar
troka,treku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrenu,entOrtu,class__botar
hetorna,sentreiu,hetOrnu,class__botar
bota,bOsu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infEruu,infOrmu,class__botar
enkosta,enkostu,enkOstu,class__botar
toka,kOtu,tOku,class__botar
ora,$Ou,Oru,class__botar
mora,mOru,mOru,class__botar
posta,pOstu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,komdu,kubru,class__cobrir
tosi,tosu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,desprugu,deskubru,class__cobrir
enkobri,enkOttu,enkubru,class__cobrir
hekobri,hekOkuu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hedeiu,hedigu,class__dizer
desdize,destizu,desdigu,class__dizer
entredize,entretezu,entredigu,class__dizer
interdize,interdevu,interdigu,class__dizer
kondize,kontsiu,kondigu,class__dizer
kontradize,kontrasidu,kontradigu,class__dizer
despraze,destrevu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivesu,adijasu,class__fazer
putrefaze,kons$ezizu,putrefasu,class__fazer
benfaze,beses$,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,assanfasu,satisfasu,class__fazer
insatisfaze,insensevasu,insatisfasu,class__fazer
likefaze,a$avEsu,likefasu,class__fazer
transfaze,transfazu,transfasu,class__fazer
kontrafaze,kontrefazu,kontrafasu,class__fazer
tohefaze,sospesexu,tohefasu,class__fazer
harefaze,sesasesu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,amuvasu,maufasu,class__fazer
kre,t$,kreiu,class__ler
tresle,trenexu,treleiu,class__ler
le,leiu,leiu,class__ler
hele,he$lu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,den$$$,desmintu,class__mentir
konsenti,konsintu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prentusu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,atintu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,per$eru,persintu,class__mentir
entreouvi,entrovuu,entreousu,class__none
reouvi,erovu,reousu,class__none
pari,paru,pairu,class__none
perde,perte,perku,class__none
hekere,hepEru,hekEru,class__none
traze,trasu,tragu,class__none
desda,destu,dEsdu,class__none
kabe,kaku,kaibu,class__none
da,de,dou,class__none
ekivale,akelEzu,ekivaLu,class__none
sabe,setu,sei,class__none
idea,edeiu,ideiu,class__none
esta,estu,estou,class__none
prove,previxu,proveNu,class__none
sobresta,sospretu,sobrestou,class__none
kere,keeiu,kEru,class__none
entrekere,entremetu,entrekEru,class__none
pode,podu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,osuu,ousu,class__none
dezimpedi,deseki,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,deskinu,despEsu,class__pedir
impedi,mmiduu,impEsu,class__pedir
pedi,pedu,pEsu,class__pedir
espedi,esputu,espEsu,class__pedir
desmedi,despinu,desmEsu,class__pedir
predispo,pret$$u,predispoNu,class__por
indispo,int$$$u,indispoNu,class__por
dezapo,desebu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontredu,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,d$$uu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,trantuu,transpoNu,class__por
espo,esto,espoNu,class__por
interpo,int$$$,interpoNu,class__por
hedispo,heto$tou,hedispoNu,class__por
antepo,at$$mu,antepoNu,class__por
deskompo,despompu,deskompoNu,class__por
