infinitive,predicted,target,class
odia,oduu,odeiu,class__ansiar
media,manidu,medeiu,class__ansiar
hemedia,hepeneiu,hemedeiu,class__ansiar
sortea,sostenu,sorteiu,class__ansiar
intermedia,entremErdu,intermedeiu,class__ansiar
insendia,insentiiu,insendeiu,class__ansiar
pleitea,pelaitu,pleiteiu,class__ansiar
ansia,ansiu,anseiu,class__ansiar
pasea,pareiu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hegu,hebOku,class__botar
nota,nonu,nOtu,class__botar
boia,bu,bOiu,class__botar
koloka,kopitu,kolOku,class__botar
oLa,,OLu,class__botar
korta,kort$u,kOrtu,class__botar
akorda,akordu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,imux$,aumOsu,class__botar
gosta,konzu,gOstu,class__botar
volta,voxpu,vOltu,class__botar
joga,jubu,jOgu,class__botar
mostra,,mOstru,class__botar
troka,treku,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOrtu,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hentriu,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,tOrtu,tOrnu,class__botar
informa,infEruu,infOrmu,class__botar
enkosta,enkottu,enkOstu,class__botar
toka,kOtu,tOku,class__botar
ora,Oru,Oru,class__botar
mora,mOru,mOru,class__botar
posta,pOstu,pOstu,class__botar
hekorta,hekOrtu,hekOrtu,class__botar
toma,tONu,tOmu,class__botar
kobri,kondu,kubru,class__cobrir
tosi,tusu,tusu,class__cobrir
engoli,enkluu,engulu,class__cobrir
deskobri,deskOrtu,deskubru,class__cobrir
enkobri,enkOrdu,enkubru,class__cobrir
hekobri,hepOrtu,hekubru,class__cobrir
sorti,surtu,surtu,class__cobrir
dize,disu,digu,class__dizer
hedize,hedezu,hedigu,class__dizer
desdize,dezeztu,desdigu,class__dizer
entredize,entretezu,entredigu,class__dizer
interdize,intrengezu,interdigu,class__dizer
kondize,kondisu,kondigu,class__dizer
kontradize,kontradezu,kontradigu,class__dizer
despraze,destra$u,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adivasu,adijasu,class__fazer
putrefaze,konversu,putrefasu,class__fazer
benfaze,pesfasu,benfasu,class__fazer
perfaze,perfesu,perfasu,class__fazer
satisfaze,satifasu,satisfasu,class__fazer
insatisfaze,insesesefaxu,insatisfasu,class__fazer
likefaze,ajejazu,likefasu,class__fazer
transfaze,transfasu,transfasu,class__fazer
kontrafaze,kontassasu,kontrafasu,class__fazer
tohefaze,$osof$,tohefasu,class__fazer
harefaze,hesassu,harefasu,class__fazer
esfaze,esfasu,esfasu,class__fazer
maufaze,a$$sfu,maufasu,class__fazer
kre,krii,kreiu,class__ler
tresle,treseju,treleiu,class__ler
le,$li,leiu,class__ler
hele,he$elu,heleiu,class__ler
deskre,destru,deskreiu,class__ler
desmenti,desmntiu,desmintu,class__mentir
konsenti,kont$ntu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,prentinu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,asintu,asintu,class__mentir
hesenti,hes$riu,hesintu,class__mentir
persenti,perfEru,persintu,class__mentir
entreouvi,entor$$uu,entreousu,class__none
reouvi,er$uuu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hekEru,hekEru,class__none
traze,trasu,tragu,class__none
desda,destu,dEsdu,class__none
kabe,kapu,kaibu,class__none
da,se,dou,class__none
ekivale,akolesu,ekivaLu,class__none
sabe,segu,sei,class__none
idea,adeiu,ideiu,class__none
esta,estu,estou,class__none
prove,provu,proveNu,class__none
sobresta,tostettu,sobrestou,class__none
kere,keitu,kEru,class__none
entrekere,entrete$tu,entrekEru,class__none
pode,podu,pOsu,class__none
estrea,estreiu,estrEiu,class__none
ouvi,o$iju,ousu,class__none
dezimpedi,dezembu,dezimpEsu,class__pedir
medi,metu,mEsu,class__pedir
despedi,despriu,despEsu,class__pedir
impedi,ampitu,impEsu,class__pedir
pedi,pEtu,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,despitu,desmEsu,class__pedir
predispo,pret$$tu,predispoNu,class__por
indispo,int$$t$u,indispoNu,class__por
dezapo,deskeNu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,pou,poNu,class__por
kontrapo,kontratu,kontrapoNu,class__por
pospo,pospu,pospoNu,class__por
dispo,dispu,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,tradinu,transpoNu,class__por
espo,estou,espoNu,class__por
interpo,intrepu,interpoNu,class__por
hedispo,hespiru,hedispoNu,class__por
antepo,ankemu,antepoNu,class__por
deskompo,denpombu,deskompoNu,class__por
justapo,zu$preu,justapoNu,class__por
trespo,trentu,trespoNu,class__por
dekompo,kompesu,dekompoNu,class__por
supo,supu,supoNu,class__por
presupo,pronutu,presupoNu,class__por
hekompo,hopompu,hekompoNu,class__por
entrepo,entrepu,entrepoNu,class__por
prosupo,propuru,prosupoNu,class__por
propo,propu,propoNu,class__por
depo,depu,depoNu,class__por
