infinitive,predicted,target,class
odia,utruu,odeiu,class__ansiar
media,mendiu,medeiu,class__ansiar
hemedia,hemeegiu,hemedeiu,class__ansiar
sortea,sotreeu,sorteiu,class__ansiar
intermedia,intre3neiu,intermedeiu,class__ansiar
insendia,entesetu,insendeiu,class__ansiar
pleitea,pe$kilu,pleiteiu,class__ansiar
ansia,anEsu,anseiu,class__ansiar
pasea,paresu,paseiu,class__ansiar
soka,sOku,sOku,class__botar
heboka,hekubu,hebOku,class__botar
nota,tontu,nOtu,class__botar
boia,pu,bOiu,class__botar
koloka,kop$u,kolOku,class__botar
oLa,Oru,OLu,class__botar
korta,kontu,kOrtu,class__botar
akorda,akrudu,akOrdu,class__botar
kosa,kOsu,kOsu,class__botar
aumosa,im$,aumOsu,class__botar
gosta,gostu,gOstu,class__botar
volta,vol$u,vOltu,class__botar
joga,jugu,jOgu,class__botar
mostra,ponstu,mOstru,class__botar
troka,tregu,trOku,class__botar
foka,fOku,fOku,class__botar
xora,xOru,xOru,class__botar
tosta,tostu,tOstu,class__botar
entorta,entrEtu,entOrtu,class__botar
hetorna,hentOru,hetOrnu,class__botar
bota,bOtu,bOtu,class__botar
torna,trnu,tOrnu,class__botar
informa,infEntu,infOrmu,class__botar
enkosta,enkOrtu,enkOstu,class__botar
toka,tOku,tOku,class__botar
ora,$$u,Oru,class__botar
mora,mOru,mOru,class__botar
posta,pOstu,pOstu,class__botar
hekorta,hekOtru,hekOrtu,class__botar
toma,tomu,tOmu,class__botar
kobri,kondu,kubru,class__cobrir
tosi,tOsu,tusu,class__cobrir
engoli,enkolu,engulu,class__cobrir
deskobri,dezprugu,deskubru,class__cobrir
enkobri,enkOttu,enkubru,class__cobrir
hekobri,heburtu,hekubru,class__cobrir
sorti,sutru,surtu,class__cobrir
dize,dizu,digu,class__dizer
hedize,hediju,hedigu,class__dizer
desdize,desk$su,desdigu,class__dizer
entredize,entr$tezu,entredigu,class__dizer
interdize,intresezu,interdigu,class__dizer
kondize,konstiu,kondigu,class__dizer
kontradize,kontrafaru,kontradigu,class__dizer
despraze,deskrezu,desprasu,class__fazer
faze,fasu,fasu,class__fazer
adijaze,adifasu,adijasu,class__fazer
putrefaze,pons$razu,putrefasu,class__fazer
benfaze,besfasu,benfasu,class__fazer
perfaze,perfasu,perfasu,class__fazer
satisfaze,issarsfi,satisfasu,class__fazer
insatisfaze,instefasfaxu,insatisfasu,class__fazer
likefaze,agulas$,likefasu,class__fazer
transfaze,transfazu,transfasu,class__fazer
kontrafaze,kontrefasu,kontrafasu,class__fazer
tohefaze,sohe$$,tohefasu,class__fazer
harefaze,hesesesu,harefasu,class__fazer
esfaze,ezfasu,esfasu,class__fazer
maufaze,$ans$u,maufasu,class__fazer
kre,kri,kreiu,class__ler
tresle,trenxu,treleiu,class__ler
le,,leiu,class__ler
hele,he$eu,heleiu,class__ler
deskre,dEstu,deskreiu,class__ler
desmenti,tesmadu,desmintu,class__mentir
konsenti,konstanu,konsintu,class__mentir
senti,sentu,sintu,class__mentir
presenti,tertenu,presintu,class__mentir
menti,mentu,mintu,class__mentir
asenti,ansinu,asintu,class__mentir
hesenti,hesentu,hesintu,class__mentir
persenti,pentrenu,persintu,class__mentir
entreouvi,entrufi,entreousu,class__none
reouvi,erufu,reousu,class__none
pari,paru,pairu,class__none
perde,perteNu,perku,class__none
hekere,hetEtu,hekEru,class__none
traze,trasu,tragu,class__none
desda,desdu,dEsdu,class__none
kabe,kabu,kaibu,class__none
da,zeku,dou,class__none
ekivale,akolezu,ekivaLu,class__none
sabe,sEgu,sei,class__none
idea,adeiu,ideiu,class__none
esta,estu,estou,class__none
prove,prevu,proveNu,class__none
sobresta,sotprEsu,sobrestou,class__none
kere,kenu,kEru,class__none
entrekere,entreeriu,entrekEru,class__none
pode,pottu,pOsu,class__none
estrea,estre$u,estrEiu,class__none
ouvi,o,ousu,class__none
dezimpedi,despindu,dezimpEsu,class__pedir
medi,medu,mEsu,class__pedir
despedi,desk$$u,despEsu,class__pedir
impedi,emibu,impEsu,class__pedir
pedi,pEku,pEsu,class__pedir
espedi,espitu,espEsu,class__pedir
desmedi,desintu,desmEsu,class__pedir
predispo,preskudu,predispoNu,class__por
indispo,int$$tu,indispoNu,class__por
dezapo,desetu,dezapoNu,class__por
kompo,kompu,kompoNu,class__por
po,poNu,poNu,class__por
kontrapo,kontrEku,kontrapoNu,class__por
pospo,ponbu,pospoNu,class__por
dispo,d$$,dispoNu,class__por
despo,despu,despoNu,class__por
transpo,tratru,transpoNu,class__por
espo,$$tu,espoNu,class__por
interpo,enkretu,interpoNu,class__por
hedispo,hedo,hedispoNu,class__por
antepo,at$$$,antepoNu,class__por
deskompo,despumtu,deskompoNu,class__por
justapo,sub$$tu,justapoNu,class__por
trespo,tentru,trespoNu,class__por
dekompo,komputu,dekompoNu,class__por
supo,supu,supoNu,class__por
presupo,prenuku,presupoNu,class__por
hekompo,hepOpru,hekompoNu,class__por
entrepo,entrepu,entrepoNu,class__por
prosupo,pronudu,prosupoNu,class__por
propo,propu,propoNu,class__por
depo,demu,depoNu,class__por
impo,mimu,impoNu,class__por
superpo,hoptenku,superpoNu,class__por
sofre,sos$,sofru,class__regular
disouve,dis$uxu,disouvu,class__regular
kohiji,kosiju,kohiju,class__regular
envouve,envo,envouvu,class__regular
mexe,mesu,mexu,class__regular
kompraze,komprasu,komprazu,class__regular
presiza,presizu,presizu,class__regular
analiza,atinaxu,analisu,class__regular
eriji,eskuu,eriju,class__regular
hompe,hompu,hompu,class__regular
konvida,konvitu,konvidu,class__regular
planta,pErti,plantu,class__regular
levanta,lif$rru,levantu,class__regular
fala,xElu,falu,class__regular
anda,at$u,andu,class__regular
kumpri,kompru,kumpru,class__regular
konjuga,kongulu,konjugu,class__regular
xama,,xamu,class__regular
murxa,mussu,murxu,class__regular
eskreve,ettreveju,eskrevu,class__regular
kontinua,kontenuu,kontinuu,class__regular
krese,kreiu,kresu,class__regular
ezerse,essezu,ezersu,class__regular
liga,laku,ligu,class__regular
brinka,pritu,brinku,class__regular
trabaLa,pratinu,trabaLu,class__regular
subimete,hepint$u,subimetu,class__regular
hespeita,he$$$tiu,hespeitu,class__regular
vende,fendu,vendu,class__regular
sede,set,sedu,class__regular
agradese,adatrevu,agradesu,class__regular
koNese,konesu,koNesu,class__regular
voa,fOu,vou,class__regular
nada,nagu,nadu,class__regular
para,paiu,paru,class__regular
kome,koNu,komu,class__regular
permiti,permitu,permitu,class__regular
lava,lavu,lavu,class__regular
dese,dese,desu,class__regular
beija,pesiju,beiju,class__regular
kohe,kosu,kohu,class__regular
permanese,pentensi,permanesu,class__regular
uza,$usu,uzu,class__regular
esklui,eskulu,eskluu,class__regular
kompreende,kompratenu,kompreendu,class__regular
dezisti,des$tu,dezistu,class__regular
aparese,aparesu,aparesu,class__regular
envia,enfiu,enviu,class__regular
kai,kaiu,kaiu,class__regular
imprimi,imp$ri,imprimu,class__regular
